# Hubbard model DMRG. L=10, N=10, nmax=3, i=5.
# J, mu, n_variance [calculated 2025-02-01T19:30:22.698]
0.0, 0.0, 0.0
0.0, 0.25, 0.0
0.0, 0.5, 0.0
0.0, 0.75, 0.0
0.0, 1.0, 0.0
0.075, 0.0, 0.0441854721077346
0.075, 0.25, 0.044185472107016066
0.075, 0.5, 0.044185472107011625
0.075, 0.75, 0.04418547210701562
0.075, 1.0, 0.18110865355527483
0.15, 0.0, 0.16372984003654967
0.15, 0.25, 0.16372984003654922
0.15, 0.5, 0.16372984003654878
0.15, 0.75, 0.2913603915439671
0.15, 1.0, 0.34866456295276604
0.225, 0.0, 0.3008238394895746
0.225, 0.25, 0.3008238394895095
0.225, 0.5, 0.30082383948963876
0.225, 0.75, 0.41241517412390594
0.225, 1.0, 0.4282296456277983
0.3, 0.0, 0.3943079052106797
0.3, 0.25, 0.39430790521068304
0.3, 0.5, 0.4656081067449265
0.3, 0.75, 0.4647104279337799
0.3, 1.0, 0.4768937863601588
