# Hubbard model DMRG. This file contains many sizes. nmax=3, μ0=0.0.
# L; J; E; deltaE_g^+; deltaE_g^-; nVariance; Γ [calculated 2025-02-08T15:42:18.617]
10; 0.0; 0.0; 1.0; 0.0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0]
10; 0.007142857142857143; -0.3066953497701941; 1.2777001153958618; -2.1259749872527234; [0.00020404691631259464, 0.0004080105514099319, 0.000408100623969343, 0.00040810068795416043, 0.000408100688001678, 0.0004081006880012339, 0.0004081006879554927, 0.00040810062549101467, 0.00040801054521732993, 0.00020404691552078358]; [0.0009180535780830159, 9.207439996600283e-7]
10; 0.09285714285714286; -0.007344934425308036; 0.364506460812064; -0.026393581180365715; [0.033552524952139895, 0.06476269824734415, 0.06671731282654014, 0.06695410003437519, 0.06699107278942096, 0.06699107514420155, 0.06695409821916098, 0.0667173025463379, 0.06476271191233085, 0.03355252424755695]; [0.14709742847644194, 0.029159587748323158]
10; 0.014285714285714285; -0.007344934425308036; 0.945518904320695; -0.026393581180365715; [0.0008157706550656618, 0.0016302096479579031, 0.001631642791010579, 0.0016316468521766492, 0.001631646864182379, 0.001631646864182823, 0.0016316468525627847, 0.0016316428860341237, 0.001630209256306303, 0.0008157706034388479]; [0.003668437493940408, 1.4695989018705867e-5]
10; 0.18571428571428572; -0.007344934425308036; -0.7663087892200324; -0.026393581180365715; [0.12372368777384168, 0.21392446406072008, 0.2272261039832948, 0.23096573048229918, 0.23221675631911065, 0.23221674102350942, 0.2309657356517265, 0.22722611208437105, 0.21392445250777437, 0.12372368570430026]; [0.47927305311504853, 0.28062250097568237]
10; 0.2714285714285714; -0.007344934425308036; -2.081942804411541; -0.026393581180365715; [0.22182800648397216, 0.33943033228273833, 0.35786232537318297, 0.3625922868999012, 0.3641704751768473, 0.3641705039165133, 0.3625923193288725, 0.35786240953766435, 0.3394303157600389, 0.22182797945687427]; [0.7048382707704967, 0.5510060886076731]
10; 0.02142857142857143; -0.35497527545113305; 1.2572289722818786; -2.1752251771424866; [0.0018339170422058126, 0.0036610996366075454, 0.0036682877380820322, 0.0036683333599056844, 0.003668333662284917, 0.0036683336623368756, 0.0036683333692510978, 0.0036682887766743555, 0.003661095262295966, 0.00183391643740205]; [0.008239734817365407, 7.409446749983275e-5]
10; 0.1; -1.2616968031879305; 1.547142190933698; 1.181244201251813; [0.038748332438768074, 0.07435700549250512, 0.07687167379536897, 0.07721648304029616, 0.07727700831769413, 0.07727700035352769, 0.07721643022155966, 0.07687164178727435, 0.0743570043345878, 0.03874832818933238]; [0.16905114349646508, 0.03832975614737734]
10; 0.02857142857142857; -2.43372329384918; 3.296165825428575; 1.8781522794643977; [0.0032564199315808784, 0.0064915400591991634, 0.006513992249869371, 0.006514270973214442, 0.006514277308864891, 0.006514277347210218, 0.006514272414323008, 0.006513982692348819, 0.006491542908803494, 0.0032564087779285433]; [0.014607073057414204, 0.0002943009268438599]
10; 0.19285714285714287; -2.43372329384918; 1.5581307427856825; 1.8781522794643977; [0.1321381052856705, 0.22600682170092457, 0.24013506714040966, 0.24415831483750083, 0.24552169930188472, 0.24552165208479626, 0.24415831257909937, 0.24013507634003783, 0.22600679588845995, 0.13213813116941475]; [0.5039478717521434, 0.3074276512116152]
10; 0.2785714285714286; -2.43372329384918; 0.22749256348871238; 1.8781522794643977; [0.22897365427477812, 0.3475394076626206, 0.3660720642534321, 0.37072126359217483, 0.37225763349527896, 0.3722576470638548, 0.37072132345273445, 0.36607212960441515, 0.34753939598039074, 0.22897362660595]; [0.7170105717017682, 0.5666206169514063]
