# Hubbard model DMRG. This file contains many sizes. nmax=4, μ0=0.0, nsweeps=10, cutoff=[1.0e-8]
# L; J; E; deltaE_g^+; deltaE_g^-; nVariance; Γ [calculated 2025-02-10T10:05:06.655]
10; 0.0; 0.0; 1.0; 0.0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0]
10; 0.007142857142857143; -0.0018366096649304886; 0.9729333683320145; -0.013295815688277495; [0.00020404691630904193, 0.0004080105514048249, 0.00040810062398111135, 0.00040810068796814924, 0.0004081006880147786, 0.00040810068801455657, 0.0004081006879688154, 0.00040810062550034054, 0.0004080105452299865, 0.00020404691551412224]; [0.0009180535566766745, 9.207439341195261e-7]
10; 0.014285714285714285; -0.0073449344253142534; 0.9455282815048518; -0.02646982915241807; [0.0008157706543651111, 0.0016302096468212568, 0.0016316427940794576, 0.0016316468555519492, 0.001631646867557901, 0.001631646867558345, 0.001631646855929425, 0.0016316428883538237, 0.0016302092594890905, 0.0008157706018929733]; [0.0036684361540905855, 1.4695972602345066e-5]
10; 0.02142857142857143; -0.016520432448254407; 0.9185467951573096; -0.03904171839585566; [0.0018339170241813418, 0.0036610996074168956, 0.0036682878120379847, 0.0036683334408524892, 0.003668333743277463, 0.003668333743325869, 0.00366833344977624, 0.0036682888330206165, 0.003661095339400955, 0.0018339163997240782]; [0.008239720101926303, 7.40940615935444e-5]
10; 0.02857142857142857; -0.02935549940378568; 0.8917651772099798; -0.05112251444673464; [0.0032564190715169694, 0.006491538875691205, 0.0065139910213716234, 0.006514269876778167, 0.006514276575387834, 0.006514275777285805, 0.00651425990594201, 0.006514015574228926, 0.006491573370113413, 0.0032563971733531316]; [0.014607101898604546, 0.00029430949073136714]
10; 0.03571428571428571; -0.045839807881545125; 0.8652280178138445; -0.06271708162952777; [0.005080553872294669, 0.01010913155406934, 0.010163281899935539, 0.010164377893215448, 0.010164406834472839, 0.010164406846414398, 0.01016437793079028, 0.01016328174901071, 0.010109131337163735, 0.005080553830224321]; [0.02278516767417247, 0.0007167196659570977]
10; 0.04285714285714286; -0.06595912153551912; 0.8389380597921163; -0.07381481452445156; [0.007302562519878708, 0.014497434741109538, 0.014607725827215923, 0.014610910719441872, 0.014611030661837221, 0.014611030715731, 0.014610910853605441, 0.01460772519065845, 0.014497433836303308, 0.007302562338763474]; [0.03269993928035519, 0.001472411416884377]
10; 0.05; -0.08969648115928806; 0.8129163073191982; -0.08440475906676338; [0.009918167584480053, 0.01963703098516678, 0.019837072738108974, 0.01984484927317176, 0.019845243173263638, 0.019845243369086774, 0.019844849653740004, 0.019837070584879823, 0.01963702797133826, 0.009918166943626128]; [0.04432967737613066, 0.0026977883693198395]
10; 0.05714285714285714; -0.11703138934466645; 0.7871850746921534; -0.09447272280619104; [0.012922342860326896, 0.025505117130345534, 0.025838127557008095, 0.025854820572257076, 0.025855909298111657, 0.025855909879137773, 0.02585482145123219, 0.025838121372517175, 0.025505108661413756, 0.012922340954935607]; [0.05762994692351798, 0.004543473128398417]
10; 0.06428571428571428; -0.14793990923556777; 0.7617666911056878; -0.10400593045273987; [0.01630941721937884, 0.03207584092465643, 0.032594670863375086, 0.03262715090181012, 0.0326298700616765, 0.03262987078589785, 0.03262715418759643, 0.03259468034046176, 0.032075821052494735, 0.016309411510596394]; [0.07254972777852559, 0.007195104576153948]
10; 0.07142857142857142; -0.18239432702201253; 0.7366846763238868; -0.11298572557199388; [0.02007325003477689, 0.0393201985922349, 0.04008683784626199, 0.040145246247730526, 0.04015102331108378, 0.04015102316085084, 0.04014524464305613, 0.040086833081022455, 0.03932019712470103, 0.02007324903959984]; [0.08902910270759329, 0.01079501361901299]
10; 0.07857142857142857; -0.220363179219091; 0.7119634503360261; -0.12139561237532714; [0.02420680937142461, 0.047206570880264254, 0.04829115494266367, 0.0483893956472794, 0.04840101171768496, 0.048401010994177485, 0.048389390735080307, 0.048291162053242465, 0.04720657076817192, 0.024206807249130824]; [0.10700678972607366, 0.015565429051624037]
10; 0.08571428571428572; -0.2618108815692404; 0.6876281920107132; -0.1292176696568953; [0.028702894872083884, 0.055700411872269706, 0.05717982065075988, 0.05733629037727872, 0.05735766790583963, 0.05735766848718682, 0.0573362903069905, 0.05717981587094001, 0.055700414102582974, 0.028702894540286072]; [0.1264003432089912, 0.021628494222212365]
10; 0.09285714285714286; -0.3066976346276311; 0.6637045509774522; -0.1364330105611301; [0.03355335855289532, 0.06476487588968194, 0.0667208807412929, 0.06695842789853423, 0.06699551237384127, 0.06699551344540255, 0.0669584275883266, 0.06672087185779296, 0.06476488102390543, 0.033553358213365136]; [0.1471291221318511, 0.029169545672028438]
10; 0.1; -0.35497932113841557; 0.6402186646436068; -0.14302266040152345; [0.03874982629938761, 0.07436084609587779, 0.07687798144297231, 0.07722414107626285, 0.07728480961496631, 0.0772848121725942, 0.07722408956880122, 0.07687798270314539, 0.07436085197042974, 0.038749825914407565]; [0.16910108466209706, 0.038357072126492205]
10; 0.10714285714285714; -0.40660710550975665; 0.6171964327367521; -0.14896763345728137; [0.04428342162058474, 0.0844470702614013, 0.08761008315967, 0.08809632873454154, 0.0881910899927012, 0.08819107916723223, 0.08809629551849563, 0.08761008068196396, 0.08444705029540955, 0.044283420924874806]; [0.19221337452123055, 0.04931003198621767]
10; 0.11428571428571428; -0.4615271717964955; 0.5946632941575896; -0.15424961848343233; [0.05014436314761439, 0.09498028102204525, 0.09887160777586756, 0.09953264551337226, 0.0996739021186217, 0.09967392408100006, 0.099532701083765, 0.09887161429035873, 0.09498020100768434, 0.05014432334419905]; [0.21634983313381578, 0.06205930043526755]
