# Hubbard model DMRG. This file contains many sizes. nmax=4, μ0=0.0.
# L; J; E; deltaE_g^+; deltaE_g^-; nVariance; Γ [calculated 2025-02-09T12:22:05.456]
100; 0.0; 0.0; 1.0; 0.0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
100; 0.007142857142857143; -0.020203018506009585; 0.9729377991172146; -0.013638169789871757; [0.00020404691633857386, 0.000408010551445237, 0.0004081006240002072, 0.00040810068800700705, 0.0004081006880545246, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.00040810068805430255, 0.0004081006880536364, 0.00040810068805385846, 0.0004081006880087834, 0.0004081006255398645, 0.0004080105452695104, 0.00020404691555364618]; [0.0009180535566766977, 9.207439342205856e-7, 9.160163662827682e-10, 9.10369475925471e-13, 9.046365222268525e-16, 8.989241711971518e-19, 8.932459030922542e-22, 8.87603248169831e-25, 8.819962053309121e-28, 8.76424578323664e-31, 8.708881471063254e-34, 8.653866898170623e-37, 8.59919985583872e-40, 8.544878148771844e-43, 8.490899595474533e-46, 8.43726202822338e-49, 8.383963292987375e-52, 8.33100124934259e-55, 8.278373770386268e-58, 8.226078742651362e-61, 8.17411406602185e-64, 8.122477653648197e-67, 8.071167431863663e-70, 8.020181340101051e-73, 7.969517330809774e-76]
100; 0.014285714285714285; -0.08079927898420092; 0.9448725522396408; -0.0267979854578817; [0.0008157710873026858, 0.0016302105582155502, 0.0016316438300165714, 0.001631648656871043, 0.0016316481700526797, 0.0016316481621958534, 0.0016316481621858614, 0.001631648162184307, 0.001631648162184085, 0.001631648162183863, 0.001631648162183641, 0.001631648162183863, 0.001631648162183641, 0.001631648162183641, 0.001631648162183419, 0.001631648162183641, 0.001631648162183419, 0.001631648162183419, 0.001631648162183641, 0.001631648162183641, 0.001631648162183419, 0.001631648162183419, 0.001631648162183863, 0.001631648162183641, 0.001631648162183419, 0.001631648162183641, 0.001631648162183863, 0.001631648162183863, 0.001631648162183641, 0.0016316481621845291, 0.001631648162184307, 0.0016316481621845291, 0.0016316481621847512, 0.0016316481621851953, 0.0016316481621847512, 0.0016316481621851953, 0.0016316481621851953, 0.0016316481621854173, 0.0016316481621851953, 0.0016316481621856394, 0.0016316481621858614, 0.0016316481621858614, 0.0016316481621856394, 0.0016316481621860834, 0.0016316481621865275, 0.0016316481621860834, 0.0016316481621865275, 0.0016316481621867496, 0.0016316481621867496, 0.0016316481621867496, 0.0016316481621869716, 0.0016316481621869716, 0.0016316481621867496, 0.0016316481621874157, 0.0016316481621874157, 0.0016316481621871937, 0.0016316481621878598, 0.0016316481621874157, 0.0016316481621880818, 0.0016316481621876378, 0.0016316481621883039, 0.0016316481621880818, 0.0016316481621880818, 0.001631648162188526, 0.0016316481621880818, 0.001631648162188526, 0.00163164816218897, 0.00163164816218897, 0.001631648162188748, 0.001631648162189192, 0.0016316481621896362, 0.0016316481621894141, 0.0016316481621894141, 0.0016316481621896362, 0.0016316481621900802, 0.0016316481621898582, 0.0016316481621898582, 0.0016316481621903023, 0.0016316481621905243, 0.0016316481621905243, 0.0016316481621905243, 0.0016316481621907464, 0.0016316481621909684, 0.0016316481621911905, 0.0016316481621907464, 0.0016316481621911905, 0.0016316481621914125, 0.0016316481621911905, 0.0016316481621916346, 0.0016316481621907464, 0.0016316481621905243, 0.0016316481621905243, 0.0016316481621900802, 0.0016316481621909684, 0.0016316481621969636, 0.0016316481644729208, 0.0016316486500083105, 0.0016316437286696406, 0.0016302105861198957, 0.00081577102246011]; [0.0036680753373431302, 1.8651628696310857e-5, 1.0400899158029998e-7, 5.892445925866835e-10, 3.345676150373481e-12, 1.8999591883905182e-14, 1.078877434091995e-16, 6.125918393626707e-19, 3.478188725504819e-21, 1.974811405444093e-23, 1.1212256347085276e-25, 6.365868816510463e-28, 3.614272512795888e-30, 2.0520282132281514e-32, 1.1650520952675569e-34, 6.6146541429979725e-37, 3.755509105382593e-39, 2.132212249536798e-41, 1.2105758759312965e-43, 6.873114488996975e-46, 3.902250380992315e-48, 2.2155251278800516e-50, 1.2578771432575254e-52, 7.141669856332027e-55, 4.05472414515803e-57]
100; 0.02142857142857143; -0.1817504228664169; 0.9168663375662411; -0.039323347823054994; [0.0018339331396332037, 0.0036611228582150712, 0.0036683260218570712, 0.0036683792104248436, 0.00366837972311318, 0.0036683797287104802, 0.0036683797287326847, 0.0036683797287653253, 0.003668379728744453, 0.0036683797287602182, 0.0036683797287502262, 0.003668379728754889, 0.003668379728754223, 0.0036683797287520026, 0.003668379728754889, 0.0036683797287515585, 0.0036683797287555553, 0.0036683797287515585, 0.003668379728754889, 0.0036683797287515585, 0.003668379728754001, 0.0036683797287515585, 0.003668379728753335, 0.0036683797287520026, 0.003668379728753113, 0.0036683797287528908, 0.0036683797287524467, 0.0036683797287526687, 0.003668379728753557, 0.0036683797287528908, 0.003668379728753779, 0.0036683797287526687, 0.0036683797287528908, 0.0036683797287522246, 0.0036683797287526687, 0.0036683797287522246, 0.0036683797287524467, 0.0036683797287526687, 0.0036683797287524467, 0.0036683797287520026, 0.0036683797287524467, 0.0036683797287522246, 0.0036683797287522246, 0.0036683797287515585, 0.0036683797287520026, 0.0036683797287522246, 0.0036683797287522246, 0.0036683797287520026, 0.0036683797287517805, 0.0036683797287515585, 0.0036683797287517805, 0.0036683797287520026, 0.0036683797287517805, 0.0036683797287522246, 0.0036683797287515585, 0.0036683797287517805, 0.0036683797287517805, 0.0036683797287511144, 0.0036683797287515585, 0.0036683797287508924, 0.0036683797287513364, 0.0036683797287511144, 0.0036683797287506703, 0.0036683797287513364, 0.0036683797287515585, 0.0036683797287508924, 0.0036683797287513364, 0.0036683797287515585, 0.0036683797287511144, 0.0036683797287506703, 0.0036683797287508924, 0.0036683797287508924, 0.0036683797287506703, 0.0036683797287508924, 0.0036683797287506703, 0.0036683797287508924, 0.0036683797287508924, 0.0036683797287511144, 0.0036683797287504483, 0.0036683797287513364, 0.003668379728749116, 0.0036683797287513364, 0.00366837972874956, 0.0036683797287522246, 0.0036683797287468956, 0.003668379728754001, 0.003668379728744897, 0.0036683797287566655, 0.0036683797287422326, 0.003668379728759552, 0.0036683797287371256, 0.003668379728764437, 0.003668379728734239, 0.0036683797287662134, 0.0036683797286667374, 0.0036683797231717996, 0.0036683792113301195, 0.0036683260191954226, 0.003661122854450305, 0.0018339331389835012]; [0.008242793404609943, 9.414601705232933e-5, 1.1791386218458616e-6, 1.5003481132210947e-8, 1.9132954754158726e-10, 2.4403049101822743e-12, 3.1122438407741004e-14, 3.96893870945856e-16, 5.061252377541566e-18, 6.454047100412305e-20, 8.230025203585685e-22, 1.049463811504535e-23, 1.3382347683347136e-25, 1.7064610118354747e-27, 2.1760056291799636e-29, 2.7747472926788194e-31, 3.538235527557631e-33, 4.5118014390789473e-35, 5.7532491696939855e-37, 7.336287983250474e-39, 9.354908586673482e-41, 1.1928963812970267e-42, 1.5211284521862876e-44, 1.939675405869371e-46, 2.4733878598284155e-48]
100; 0.02857142857142857; -0.3229918168673287; 0.8886834333059213; -0.05226372313884442; [0.003256475383739965, 0.006491648028850383, 0.006514155576399894, 0.0065144493253976865, 0.0065144543308903735, 0.006514454427385852, 0.0065144544287580874, 0.006514454429222605, 0.0065144544289328365, 0.006514454429135341, 0.006514454429017658, 0.006514454429072725, 0.006514454429069172, 0.006514454429047856, 0.006514454429081384, 0.006514454429035199, 0.006514454429082495, 0.006514454429034533, 0.006514454429080718, 0.00651445442903964, 0.006514454429079386, 0.006514454429045857, 0.006514454429077832, 0.0065144544290522965, 0.006514454429076499, 0.0065144544290571815, 0.006514454429073391, 0.006514454429060512, 0.006514454429070282, 0.0065144544290620665, 0.006514454429068062, 0.006514454429064065, 0.0065144544290667294, 0.006514454429064287, 0.0065144544290671735, 0.006514454429065397, 0.0065144544290669515, 0.006514454429064953, 0.006514454429065841, 0.006514454429065841, 0.006514454429064953, 0.006514454429064509, 0.006514454429065397, 0.006514454429064287, 0.006514454429065619, 0.006514454429064065, 0.006514454429063843, 0.006514454429064065, 0.006514454429064953, 0.006514454429064509, 0.006514454429064065, 0.006514454429065175, 0.006514454429062733, 0.006514454429063399, 0.006514454429064065, 0.006514454429063399, 0.006514454429063399, 0.006514454429063177, 0.0065144544290614, 0.006514454429063177, 0.0065144544290620665, 0.006514454429061622, 0.006514454429063399, 0.0065144544290618445, 0.006514454429060512, 0.006514454429064953, 0.006514454429060734, 0.0065144544290614, 0.006514454429062955, 0.006514454429060068, 0.006514454429058514, 0.006514454429068728, 0.006514454429054517, 0.006514454429065619, 0.006514454429060956, 0.006514454429064731, 0.00651445442904941, 0.006514454429083383, 0.006514454429034755, 0.006514454429083827, 0.006514454429040528, 0.00651445442908738, 0.006514454429014105, 0.006514454429128014, 0.006514454428981242, 0.0065144544291320106, 0.006514454429004779, 0.0065144544291120265, 0.006514454428980576, 0.006514454429167538, 0.006514454428908856, 0.00651445442922749, 0.006514454428892202, 0.00651445442917975, 0.006514454426882255, 0.006514454331763453, 0.0065144493333573195, 0.0065141555502987725, 0.006491647991748062, 0.003256475377048207]; [0.014622671682415213, 0.00029580404851963274, 6.5586873476716365e-6, 1.4772641656151234e-7, 3.334703181397688e-9, 7.52883726415993e-11, 1.6996767630678573e-12, 3.83686235963541e-14, 8.661020300786953e-16, 1.9550258600279064e-17, 4.412969221743627e-19, 9.961083573304862e-21, 2.2484375203282997e-22, 5.075213210570067e-24, 1.1455850746405953e-25, 2.5858312758731492e-27, 5.83677431350903e-29, 1.3174846310383968e-30, 2.973843979717846e-32, 6.7126002566244515e-34, 1.5151770305156006e-35, 3.4200776970134774e-37, 7.719844538527656e-39, 1.7425335376580319e-40, 3.933269702090609e-42]
100; 0.03571428571428571; -0.5044321553808512; 0.8609965271316837; -0.06446746638628442; [0.005080553917482633, 0.010109132396982856, 0.01016328288633761, 0.010164379292398218, 0.010164409054465029, 0.010164409953623332, 0.010164409979608546, 0.010164409982184708, 0.010164409981154199, 0.010164409981850087, 0.010164409981414435, 0.010164409981688438, 0.010164409981529898, 0.01016440998162449, 0.01016440998156054, 0.01016440998159096, 0.010164409981570088, 0.010164409981579414, 0.010164409981574307, 0.01016440998157675, 0.010164409981574973, 0.010164409981576528, 0.010164409981575195, 0.010164409981576528, 0.010164409981576972, 0.010164409981576972, 0.010164409981578082, 0.010164409981576306, 0.010164409981575417, 0.010164409981576528, 0.010164409981576084, 0.010164409981577194, 0.010164409981576972, 0.01016440998157564, 0.010164409981576528, 0.010164409981575862, 0.010164409981576084, 0.010164409981577416, 0.010164409981576084, 0.010164409981577194, 0.010164409981576972, 0.010164409981577416, 0.010164409981577638, 0.010164409981578526, 0.010164409981577638, 0.01016440998157897, 0.010164409981578082, 0.010164409981577638, 0.010164409981579636, 0.01016440998157897, 0.01016440998157897, 0.010164409981579636, 0.01016440998157786, 0.010164409981579192, 0.010164409981579414, 0.010164409981577416, 0.010164409981580746, 0.010164409981579858, 0.010164409981578304, 0.010164409981581413, 0.01016440998157897, 0.010164409981579858, 0.010164409981581857, 0.010164409981576528, 0.01016440998158119, 0.010164409981579414, 0.010164409981576306, 0.010164409981584077, 0.010164409981578304, 0.010164409981577638, 0.010164409981583855, 0.010164409981575862, 0.01016440998158008, 0.010164409981583411, 0.01016440998157453, 0.010164409981582523, 0.0101644099815823, 0.010164409981574973, 0.010164409981585631, 0.010164409981577638, 0.010164409981573197, 0.01016440998158763, 0.010164409981570754, 0.010164409981584743, 0.01016440998157786, 0.010164409981579414, 0.010164409981565203, 0.01016440998160606, 0.010164409981518352, 0.010164409981642697, 0.010164409981508804, 0.01016440998161472, 0.010164409981446632, 0.01016440998073409, 0.010164409951947118, 0.01016440905860283, 0.010164379337027407, 0.010163282963503883, 0.010109132190610381, 0.005080553869722615]; [0.022785178462131427, 0.0007174153127418874, 2.4767037429352883e-5, 8.68718550771327e-7, 3.05394702070351e-8, 1.0737917663135965e-9, 3.775263127775912e-11, 1.3272292186943838e-12, 4.665815228316377e-14, 1.6402108411519514e-15, 5.765894675404163e-17, 2.026893760298115e-18, 7.125146442517037e-20, 2.5047005733274014e-21, 8.80475779469271e-23, 3.0951292268196174e-24, 1.0880279122365345e-25, 3.82473388223134e-27, 1.3445048551155546e-28, 4.726324180447292e-30, 1.6614398749502936e-31, 5.840442418334558e-33, 2.053084669349297e-34, 7.21718724147001e-36, 2.5370503337273796e-37]
100; 0.04285714285714286; -0.7259523154291871; 0.833228024373482; -0.07663479535651696; [0.007302565903446245, 0.01449743896052702, 0.014607731195885876, 0.014610920171705732, 0.01461104064249441, 0.01461104576584904, 0.014611045996426153, 0.014611046007548367, 0.014611046007826811, 0.014611046007992234, 0.01461104600790275, 0.014611046007954709, 0.01461104600791896, 0.014611046007932948, 0.014611046007923623, 0.014611046007932282, 0.014611046007925399, 0.014611046007930284, 0.014611046007924733, 0.014611046007926065, 0.014611046007924289, 0.014611046007927397, 0.01461104600793095, 0.014611046007930062, 0.014611046007925843, 0.014611046007931616, 0.014611046007928286, 0.014611046007926065, 0.014611046007925177, 0.014611046007926065, 0.014611046007931394, 0.014611046007933615, 0.014611046007931394, 0.014611046007925621, 0.014611046007926287, 0.014611046007926731, 0.014611046007929396, 0.014611046007931838, 0.01461104600792762, 0.014611046007928064, 0.014611046007928064, 0.014611046007928286, 0.014611046007927397, 0.014611046007930062, 0.014611046007927397, 0.014611046007926953, 0.01461104600792762, 0.01461104600792762, 0.014611046007930284, 0.01461104600792873, 0.014611046007929618, 0.014611046007928952, 0.014611046007928064, 0.01461104600793095, 0.014611046007928286, 0.014611046007931172, 0.01461104600793095, 0.01461104600792762, 0.014611046007930062, 0.014611046007928952, 0.014611046007927397, 0.014611046007929618, 0.014611046007929396, 0.014611046007929174, 0.014611046007930506, 0.014611046007926287, 0.014611046007930284, 0.014611046007927841, 0.014611046007927841, 0.014611046007931616, 0.014611046007924067, 0.014611046007933615, 0.014611046007928064, 0.014611046007927175, 0.014611046007936057, 0.014611046007924289, 0.01461104600793095, 0.014611046007934725, 0.014611046007921402, 0.014611046007941164, 0.014611046007919404, 0.01461104600793095, 0.014611046007936945, 0.01461104600792007, 0.014611046007932504, 0.014611046007935169, 0.014611046007906525, 0.014611046007963813, 0.014611046007896755, 0.014611046007924733, 0.014611046007958262, 0.01461104600785501, 0.014611046007463102, 0.014611045996588912, 0.014611045765356323, 0.014611040641823614, 0.014610920142806405, 0.01460773112466196, 0.014497438920013206, 0.007302565887558288]; [0.03269998425902173, 0.00147450127101726, 7.287674801780203e-5, 3.6595640146508082e-6, 1.841833424684829e-7, 9.27148068951372e-9, 4.66677695087972e-10, 2.3488581333546917e-11, 1.1821688990876652e-12, 5.949669726877765e-14, 2.9943398717973396e-15, 1.5069768862285094e-16, 7.584214738417904e-18, 3.8169270899558627e-19, 1.9209527644048614e-20, 9.667613540699575e-22, 4.8654359065739355e-23, 2.4486356344838235e-24, 1.2323286350002042e-25, 6.201959080274708e-27, 3.1212693131176294e-28, 1.570845902550214e-29, 7.905619750303905e-31, 3.978673100273953e-32, 2.0023527724291506e-33]
100; 0.05; -0.9874042170543982; 0.8057162524865422; -0.08791299010979348; [0.009918182518874441, 0.01963704972050695, 0.019837095797141657, 0.01984488916835292, 0.01984528679981068, 0.01984530966981679, 0.019845311068243943, 0.0198453111564314, 0.019845311162082435, 0.019845311162442147, 0.019845311162469237, 0.019845311162473456, 0.01984531116246946, 0.01984531116247301, 0.01984531116246724, 0.019845311162472568, 0.01984531116246746, 0.019845311162472568, 0.01984531116246746, 0.01984531116246946, 0.01984531116246724, 0.019845311162466128, 0.019845311162468127, 0.019845311162466572, 0.01984531116246724, 0.01984531116246524, 0.019845311162467016, 0.019845311162464574, 0.019845311162465684, 0.019845311162462798, 0.019845311162465906, 0.019845311162461465, 0.01984531116246635, 0.01984531116246413, 0.01984531116246524, 0.019845311162463686, 0.019845311162463686, 0.01984531116246413, 0.019845311162464574, 0.01984531116246191, 0.019845311162463908, 0.019845311162462576, 0.019845311162464352, 0.01984531116246302, 0.019845311162463686, 0.01984531116246213, 0.019845311162463464, 0.019845311162461243, 0.019845311162462353, 0.01984531116246102, 0.01984531116246324, 0.019845311162461465, 0.01984531116246191, 0.019845311162459467, 0.019845311162461243, 0.0198453111624588, 0.0198453111624608, 0.019845311162460577, 0.019845311162461687, 0.01984531116246302, 0.019845311162465018, 0.019845311162460133, 0.019845311162462576, 0.019845311162462353, 0.019845311162462576, 0.01984531116246191, 0.019845311162462353, 0.019845311162460577, 0.019845311162464352, 0.019845311162462353, 0.01984531116246191, 0.019845311162460577, 0.019845311162460577, 0.019845311162462576, 0.019845311162461243, 0.019845311162463686, 0.019845311162462353, 0.01984531116246191, 0.019845311162460133, 0.019845311162457024, 0.019845311162454582, 0.01984531116245769, 0.01984531116245103, 0.01984531116245991, 0.019845311162453916, 0.019845311162464796, 0.0198453111624608, 0.01984531116245125, 0.019845311162449697, 0.01984531116241306, 0.019845311162367985, 0.019845311161991397, 0.01984531115631949, 0.019845311068244387, 0.01984530967031195, 0.019845286803430895, 0.019844889162363488, 0.019837095730161014, 0.019637049710209853, 0.009918182506074125]; [0.04433020014186157, 0.002705706810323667, 0.0001811433697098606, 1.2325492775596783e-5, 8.406294142672667e-7, 5.7344413311784235e-8, 3.911546374841312e-9, 2.667950712333124e-10, 1.8196589297651025e-11, 1.2410595636650981e-12, 8.464280631435836e-14, 5.772775502297008e-15, 3.937111966383416e-16, 2.6851592314395633e-17, 1.8313100672453233e-18, 1.2489742459754988e-19, 8.518143570815655e-21, 5.80946793446458e-22, 3.9621209148276654e-23, 2.7022098400341766e-24, 1.8429366486941165e-25, 1.2569029223480985e-26, 8.572215144349618e-28, 5.846344285549811e-29, 3.9872706026185964e-30]
100; 0.05714285714285714; -1.2886091783093265; 0.7780440295425333; -0.09914060872678743; [0.012922386869730795, 0.02550517266118635, 0.02583819564202905, 0.02585493671552319, 0.025856040935043678, 0.025856123090719274, 0.025856129593711197, 0.025856130124684018, 0.02585613016872501, 0.02585613017240651, 0.02585613017270516, 0.025856130172744907, 0.025856130172735137, 0.0258561301727398, 0.025856130172735803, 0.025856130172742908, 0.02585613017273336, 0.025856130172743796, 0.02585613017273558, 0.0258561301727398, 0.02585613017273669, 0.025856130172743352, 0.025856130172734693, 0.025856130172744685, 0.025856130172733804, 0.025856130172740688, 0.025856130172734693, 0.025856130172743352, 0.025856130172734915, 0.025856130172743352, 0.025856130172734915, 0.025856130172742908, 0.025856130172736913, 0.025856130172742686, 0.02585613017273558, 0.025856130172742908, 0.02585613017273669, 0.02585613017274313, 0.02585613017273647, 0.025856130172742464, 0.025856130172738245, 0.02585613017274513, 0.025856130172737357, 0.025856130172742908, 0.025856130172736247, 0.02585613017274402, 0.02585613017273669, 0.02585613017274424, 0.02585613017273558, 0.025856130172743352, 0.025856130172736913, 0.025856130172743574, 0.02585613017273425, 0.025856130172743352, 0.025856130172736247, 0.02585613017274402, 0.02585613017273425, 0.025856130172742242, 0.02585613017273336, 0.025856130172743352, 0.02585613017273447, 0.02585613017274313, 0.025856130172732694, 0.025856130172742242, 0.025856130172731806, 0.025856130172742908, 0.025856130172731362, 0.025856130172742908, 0.02585613017273225, 0.02585613017274002, 0.025856130172731806, 0.025856130172741354, 0.025856130172732694, 0.025856130172742908, 0.025856130172733804, 0.025856130172739578, 0.025856130172732916, 0.025856130172739356, 0.025856130172730918, 0.025856130172740466, 0.02585613017273225, 0.025856130172739356, 0.025856130172727365, 0.025856130172736025, 0.025856130172724034, 0.02585613017273114, 0.025856130172720038, 0.0258561301727267, 0.025856130172711822, 0.025856130172694503, 0.02585613017236965, 0.02585613016870969, 0.025856130124724652, 0.02585612959423056, 0.025856123094951, 0.025856040952262127, 0.02585493670315353, 0.025838195446403978, 0.025505172656944186, 0.012922386836435984]; [0.057631245855410955, 0.004561199245366041, 0.00039592200523654963, 3.493157195267427e-5, 3.089299046944399e-6, 2.732701978198948e-7, 2.4171109242497208e-8, 2.1378299055069783e-9, 1.8907436916934283e-10, 1.672178439666815e-11, 1.4788610238519476e-12, 1.3078841580237088e-13, 1.1566705203751415e-14, 1.022937802964275e-15, 9.046661561871872e-17, 8.000685838751531e-18, 7.075643791449481e-19, 6.257554407195967e-20, 5.5340524340251624e-21, 4.894201933942761e-22, 4.32833122775342e-23, 3.82788679430823e-24, 3.3853040435038487e-25, 2.993892983776977e-26, 2.647737121110392e-27]
100; 0.06428571428571428; -1.6293563368433999; 0.7510937295506555; -0.10960060344314915; [0.016309519212099555, 0.032075885307185414, 0.032594730449874154, 0.03262728693430672, 0.0326299728835564, 0.032630224234896366, 0.03263024927557878, 0.03263025185231072, 0.0326302521216153, 0.03263025215000037, 0.03263025215298532, 0.03263025215330817, 0.03263025215334081, 0.03263025215333881, 0.032630252153337924, 0.032630252153345696, 0.03263025215333726, 0.032630252153347916, 0.032630252153337924, 0.03263025215334925, 0.03263025215333748, 0.03263025215334925, 0.03263025215333881, 0.03263025215334614, 0.03263025215334103, 0.03263025215334925, 0.03263025215334148, 0.03263025215334947, 0.032630252153339034, 0.032630252153348804, 0.03263025215333881, 0.032630252153347916, 0.032630252153339034, 0.03263025215334858, 0.032630252153339256, 0.032630252153348804, 0.032630252153342365, 0.03263025215334836, 0.03263025215334059, 0.03263025215334836, 0.0326302521533397, 0.03263025215334858, 0.032630252153342365, 0.032630252153348804, 0.03263025215334259, 0.032630252153347916, 0.032630252153344586, 0.03263025215334747, 0.03263025215334259, 0.03263025215334836, 0.032630252153342365, 0.032630252153347916, 0.03263025215334192, 0.03263025215334836, 0.03263025215334259, 0.03263025215334703, 0.032630252153345474, 0.032630252153348804, 0.03263025215334281, 0.032630252153348804, 0.032630252153342365, 0.03263025215334703, 0.03263025215334503, 0.03263025215334703, 0.03263025215334303, 0.03263025215334725, 0.03263025215334259, 0.032630252153346584, 0.032630252153345474, 0.032630252153345474, 0.03263025215334481, 0.03263025215334747, 0.032630252153345474, 0.032630252153345696, 0.032630252153346584, 0.03263025215334525, 0.03263025215334503, 0.032630252153346584, 0.03263025215334481, 0.03263025215334436, 0.03263025215334436, 0.03263025215334747, 0.03263025215334281, 0.03263025215334636, 0.03263025215334503, 0.032630252153345474, 0.03263025215334481, 0.0326302521533377, 0.03263025215331705, 0.032630252152969996, 0.03263025215003412, 0.03263025212153847, 0.03263025185231738, 0.03263024927371139, 0.032630224219745596, 0.032629972767561854, 0.03262728652297975, 0.032594730214595025, 0.032075884947830424, 0.01630951915186518]; [0.07255199978611243, 0.007211090809823345, 0.0007873798700418158, 8.746035636225503e-5, 9.740277533841364e-6, 1.0850376441527058e-6, 1.208634003913823e-7, 1.346224829251476e-8, 1.499419273363565e-9, 1.6700086549798855e-10, 1.8599826714836204e-11, 2.071553149612233e-12, 2.3071807776654893e-13, 2.5696044360224746e-14, 2.8618734956745998e-15, 3.187383529904634e-16, 3.549915942951403e-17, 3.9536819969784936e-18, 4.403371802777321e-19, 4.904208830721211e-20, 5.462010617453046e-21, 6.083256345170469e-22, 6.775162120947259e-23, 7.545764788214071e-24, 8.404015296711753e-25]
