# Hubbard model DMRG. This file contains many sizes. nmax=3, μ0=0.0. cutoff = 1E-12 (credo). DAL PORTATILE
# L; J; E; deltaE_g^+; deltaE_g^-; nVariance; Γ [calculated 2025-02-08T17:41:07.741]
20; 0.0; 0.0; 1.0; 0.0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0]
20; 0.007142857142857143; -0.0038773217954672923; 0.9731822549688043; -0.013094665763141947; [0.000204046925045831, 0.0004080105570141157, 0.00040810063694030063, 0.00040810070811625465, 0.00040810070858610104, 0.0004081007085949828, 0.0004081007085947608, 0.0004081007085947608, 0.00040810070859453873, 0.00040810070859453873, 0.00040810070859453873, 0.0004081007085949828, 0.00040810070859520486, 0.00040810070859520486, 0.0004081007085949828, 0.0004081007085943167, 0.0004081007085048327, 0.0004081006345555416, 0.00040801055774419837, 0.00020404692230069355]; [0.0009180305606518904, 1.1697592344810136e-6, 1.6352756040364315e-9, 2.322695702741225e-12, 3.3064589994179412e-15]
20; 0.014285714285714285; -0.01550653445937833; 0.9454090782743294; -0.02535730712002926; [0.0008157720695642912, 0.001630211685554439, 0.0016316461597156717, 0.0016316508865383827, 0.0016316509068969864, 0.0016316509069962404, 0.0016316509069964624, 0.0016316509069966845, 0.0016316509069964624, 0.0016316509069964624, 0.0016316509069964624, 0.0016316509069962404, 0.0016316509069966845, 0.0016316509069962404, 0.0016316509069949081, 0.0016316509068972085, 0.0016316508866029977, 0.001631646159533373, 0.001630211685324845, 0.0008157720695110005]; [0.0036690244656410126, 1.8675283525179805e-5, 1.042787747052797e-7, 5.915986341270359e-10, 3.3637825353328315e-12]
20; 0.02142857142857143; -0.03487935336438497; 0.9177641832458395; -0.03845907689388697; [0.001833933145454325, 0.0036611228536669316, 0.0036683260082586155, 0.0036683792057752296, 0.0036683797181937816, 0.003668379723741566, 0.003668379723805959, 0.003668379723806181, 0.003668379723806403, 0.003668379723805737, 0.003668379723806181, 0.003668379723805071, 0.003668379723805293, 0.003668379723805293, 0.003668379723740678, 0.0036683797181944477, 0.003668379206011485, 0.0036683260075711654, 0.00366112285304121, 0.001833933145394151]; [0.008242789220521003, 9.418050616265443e-5, 1.1804868805912049e-6, 1.5034194462338028e-8, 1.918996524925482e-10]
20; 0.02857142857142857; -0.06198188730241627; 0.8895708982005014; -0.0512108551451958; [0.0032564754786081895, 0.006491648028691621, 0.006514155491077034, 0.006514449371995301, 0.006514454378728107, 0.006514454474738196, 0.0065144544766968515, 0.006514454476737486, 0.006514454476738818, 0.006514454476738152, 0.006514454476738152, 0.006514454476739706, 0.006514454476738152, 0.006514454476695963, 0.006514454474741305, 0.00651445437871212, 0.006514449371549658, 0.006514155489846685, 0.006491648028113417, 0.003256475478183196]; [0.014622660902553276, 0.00029608615248287446, 6.578195956540206e-6, 1.4851322030168535e-7, 3.3605683576134245e-9]
20; 0.03571428571428571; -0.09679451188530575; 0.8621488048906648; -0.06313533920494496; [0.00508055444414901, 0.010109131577034747, 0.010163281425469961, 0.010164378185427037, 0.010164407204712012, 0.010164408069400332, 0.010164408096791089, 0.010164408097685707, 0.010164408097714572, 0.010164408097716127, 0.010164408097715016, 0.010164408097715905, 0.010164408097684818, 0.01016440809679331, 0.010164408069423203, 0.010164407204711345, 0.010164378183027623, 0.010163281418167802, 0.010109131574452812, 0.005080554441679319]; [0.022785129579200286, 0.0007177847381399408, 2.4809456328625066e-5, 8.714378522069562e-7, 3.067994514706001e-8]
20; 0.04285714285714286; -0.13929169328747237; 0.834608397742655; -0.07572072547720785; [0.007302565073313616, 0.014497435027331251, 0.014607724012459133, 0.014610912149035205, 0.014611032787340328, 0.014611037925667869, 0.014611038177278823, 0.014611038190245118, 0.014611038190925463, 0.0146110381909621, 0.014611038190961212, 0.014611038190924575, 0.014611038190219583, 0.014611038176814306, 0.014611037920366998, 0.014611032763306664, 0.014610912175128332, 0.014607724002033695, 0.0144974349871132, 0.007302565058488475]; [0.032699834604614446, 0.0014756203294651114, 7.47118840251225e-5, 3.964117644107602e-6, 2.144436112733264e-7]
20; 0.05; -0.18944176106847355; 0.8068739934657718; -0.08698243251010501; [0.009918176605695161, 0.019637032567551005, 0.019837067323154045, 0.019844854709967885, 0.019845252247228995, 0.019845275188508538, 0.019845276609653517, 0.01984527670190328, 0.019845276708089665, 0.019845276708512438, 0.01984527670851377, 0.019845276708090775, 0.0198452767019055, 0.019845276609671725, 0.019845275188602907, 0.01984525224743483, 0.01984485471027342, 0.019837067323373647, 0.019637032567737966, 0.009918176605782869]; [0.04432945446333075, 0.002705640632216207, 0.00018521466441365103, 1.329013759303663e-5, 9.726525382676563e-7]
20; 0.05714285714285714; -0.24720663125979536; 0.7799078036210626; -0.09740232075576122; [0.012922369903173414, 0.025505123662582285, 0.0258381142980586, 0.02585483818579437, 0.025855941968134344, 0.02585602438279877, 0.025856030990594636, 0.025856031545853142, 0.025856031594074347, 0.025856031598326723, 0.025856031598326945, 0.025856031594077677, 0.02585603154588001, 0.025856030990730527, 0.02585602438333101, 0.025855941969127105, 0.025854838186954776, 0.02583811429886218, 0.025505123663406737, 0.012922369903628494]; [0.05762957451020697, 0.004560679367965556, 0.0004046179242733993, 3.7633831444654225e-5, 3.5712578908858943e-6]
20; 0.06428571428571428; -0.31254147946076394; 0.7530023292904633; -0.10783148151497396; [0.016309475068934542, 0.03207576057008277, 0.03259452426384524, 0.03262703627404884, 0.03262972062758096, 0.03262997157368708, 0.032629996775170644, 0.03262999942825773, 0.032629999716915936, 0.03262999974867453, 0.03262999974867942, 0.03262999971695235, 0.03262999942843359, 0.03262999677590028, 0.032629971576062955, 0.03262972063141745, 0.03262703627761998, 0.03259452426634035, 0.03207576057311101, 0.016309475070778512]; [0.07254854253334496, 0.007206154036590893, 0.0008020028067544397, 9.358309583248271e-5, 1.1143822643723954e-5]
