# Hubbard model DMRG. This file contains many sizes. nmax=4, μ0=0.0.
# L; J; E; deltaE_g^+; deltaE_g^-; nVariance; Γ [calculated 2025-02-09T00:09:24.742]
40; 0.0; 0.0; 1.0; 0.0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
40; 0.007142857142857143; -0.007958745945290335; 0.9739103224673729; -0.013322852810877528; [0.00020404691631903393, 0.0004080105514183696, 0.0004081006239873286, 0.0004081006879808058, 0.00040810068802832333, 0.0004081006880281013, 0.0004081006880281013, 0.0004081006880281013, 0.0004081006880281013, 0.0004081006880281013, 0.0004081006880281013, 0.0004081006880281013, 0.0004081006880281013, 0.0004081006880281013, 0.0004081006880281013, 0.0004081006880281013, 0.0004081006880281013, 0.0004081006880281013, 0.0004081006880281013, 0.0004081006880281013, 0.0004081006880281013, 0.0004081006880281013, 0.0004081006880281013, 0.0004081006880281013, 0.0004081006880281013, 0.0004081006880281013, 0.0004081006880281013, 0.0004081006880281013, 0.0004081006880281013, 0.0004081006880281013, 0.0004081006880281013, 0.0004081006880281013, 0.0004081006880281013, 0.0004081006880281013, 0.00040810068802787924, 0.0004081006880276572, 0.00040810068798213806, 0.0004081006255136632, 0.00040801054524330915, 0.00020404691552744492]; [0.000918053556676719, 9.207439342206095e-7, 9.160163662827911e-10, 9.103694759254941e-13, 9.046365222268755e-16, 8.989241711971819e-19, 8.932459030922706e-22, 8.876032481698518e-25, 8.819962053309372e-28, 8.764245783236859e-31]
40; 0.014285714285714285; -0.031829716797934005; 0.9458157423978282; -0.026297184258985418; [0.0008157710872505053, 0.001630210558184686, 0.0016316438299639469, 0.0016316486568479505, 0.0016316481700235919, 0.0016316481621745371, 0.0016316481621660994, 0.001631648162163657, 0.001631648162164323, 0.001631648162163657, 0.001631648162163879, 0.001631648162163879, 0.001631648162163879, 0.001631648162164323, 0.0016316481621627688, 0.001631648162163657, 0.0016316481621627688, 0.001631648162164101, 0.0016316481621627688, 0.0016316481621632128, 0.001631648162163879, 0.0016316481621629908, 0.0016316481621634349, 0.0016316481621627688, 0.0016316481621627688, 0.0016316481621629908, 0.0016316481621627688, 0.0016316481621627688, 0.0016316481621625467, 0.0016316481621632128, 0.0016316481621629908, 0.0016316481621632128, 0.0016316481621625467, 0.0016316481621649892, 0.001631648162168764, 0.0016316481643978697, 0.0016316486498721972, 0.0016316437282810625, 0.0016302105860925842, 0.0008157710225604742]; [0.0036680753373434477, 1.8651627964821488e-5, 1.0400897014064942e-7, 5.89244344834831e-10, 3.3456739876377515e-12, 1.8999575267022344e-14, 1.0788762437658716e-16, 6.1259102351427215e-19, 3.478183297805822e-21, 1.9748078726557945e-23]
40; 0.02142857142857143; -0.07159712074424548; 0.9182548152983517; -0.03843916994199523; [0.0018339331396638459, 0.003661122858233501, 0.0036683260218186575, 0.0036683792104579283, 0.0036683797230958604, 0.003668379728694271, 0.0036683797287557773, 0.003668379728744231, 0.003668379728765103, 0.0036683797287428987, 0.003668379728764659, 0.003668379728744897, 0.0036683797287613285, 0.0036683797287480058, 0.003668379728758442, 0.0036683797287513364, 0.0036683797287557773, 0.0036683797287522246, 0.0036683797287571096, 0.0036683797287522246, 0.003668379728754001, 0.0036683797287571096, 0.0036683797287515585, 0.0036683797287502262, 0.0036683797287613285, 0.003668379728748228, 0.0036683797287453412, 0.0036683797287722086, 0.0036683797287460074, 0.003668379728734239, 0.0036683797287857534, 0.0036683797287664355, 0.0036683797286709563, 0.0036683797288363795, 0.003668379728710036, 0.003668379723068327, 0.003668379211333006, 0.003668326019237611, 0.003661122854465626, 0.001833933139002819]; [0.008242793404802178, 9.414599881711794e-5, 1.179137388129676e-6, 1.5003449916743024e-8, 1.9132894336192387e-10, 2.440294543404924e-12, 3.1122269444103086e-14, 3.9689134248364606e-16, 5.061214024953356e-18, 6.453991698684817e-20]
40; 0.02857142857142857; -0.12723436964836685; 0.8903243497496584; -0.0514286232145055; [0.0032564753842790894, 0.006491648029307795, 0.0065141555758314595, 0.0065144493256263925, 0.006514454330964536, 0.006514454427077654, 0.006514454429102701, 0.006514454429218608, 0.006514454429132233, 0.006514454429009442, 0.0065144544294650775, 0.0065144544287782935, 0.006514454429242811, 0.0065144544293405104, 0.006514454428935279, 0.006514454429013217, 0.006514454429572991, 0.006514454428816041, 0.006514454428841132, 0.006514454429712657, 0.006514454428980354, 0.006514454428303118, 0.006514454430109895, 0.006514454429275007, 0.00651445442740517, 0.0065144544309436725, 0.006514454429471073, 0.006514454426623351, 0.006514454431405969, 0.00651445442965648, 0.006514454425864846, 0.0065144544321584785, 0.006514454429570549, 0.006514454425833982, 0.006514454429471295, 0.006514454331315589, 0.006514449331772143, 0.006514155551725853, 0.006491647991952787, 0.0032564753774108057]; [0.014622671655989756, 0.00029580385617170414, 6.558687211541916e-6, 1.4772648140568157e-7, 3.3346986320212766e-9, 7.528835727866994e-11, 1.699676750310464e-12, 3.836854607664459e-14, 8.661018458478371e-16, 1.9550280619979064e-17]
40; 0.03571428571428571; -0.19870392424502054; 0.8622663141214311; -0.06315476263063585; [0.005080553920950526, 0.010109132399971799, 0.010163282884564584, 0.010164379293546633, 0.010164409054428836, 0.01016440995334622, 0.010164409980016886, 0.010164409981981093, 0.010164409981233025, 0.010164409981832767, 0.010164409981559652, 0.010164409981423317, 0.010164409981855638, 0.01016440998142576, 0.010164409981525013, 0.010164409981890943, 0.010164409981259004, 0.010164409981729294, 0.010164409981793687, 0.01016440998117174, 0.01016440998198287, 0.010164409981540334, 0.010164409981227251, 0.010164409982224898, 0.010164409981145983, 0.010164409981486822, 0.010164409982381883, 0.010164409980682798, 0.010164409981938904, 0.010164409982662992, 0.010164409980146338, 0.01016440998260304, 0.010164409982079237, 0.010164409979219968, 0.010164409953389297, 0.010164409058400103, 0.010164379336601526, 0.010163282966370257, 0.010109132191262749, 0.005080553872095828]; [0.02278517848221965, 0.0007174157641885529, 2.476707810300574e-5, 8.687216378540729e-7, 3.053964512043039e-8, 1.0737993664348133e-9, 3.7752988692182906e-11, 1.3272441937326832e-12, 4.6658747867350835e-14, 1.6402361292814671e-15]
40; 0.04285714285714286; -0.2859568560055781; 0.8350970560168918; -0.07464293617730977; [0.007302565904770741, 0.014497438960787923, 0.014607731195883877, 0.014610920172496655, 0.014611040643212947, 0.014611045766004915, 0.014611045996995031, 0.014611046007835471, 0.014611046008326856, 0.014611046008372375, 0.014611046008293993, 0.014611046008428996, 0.01461104600829044, 0.014611046008359052, 0.014611046008422113, 0.014611046008234263, 0.014611046008459416, 0.014611046008326634, 0.014611046008276452, 0.01461104600853802, 0.014611046008143891, 0.014611046008463857, 0.014611046008450312, 0.014611046008122353, 0.014611046008647044, 0.01461104600816876, 0.014611046008338624, 0.014611046008777162, 0.014611046007674267, 0.014611046008804918, 0.014611046008396578, 0.014611046007945827, 0.014611046008616624, 0.014611045996349104, 0.014611045766278474, 0.014611040641995698, 0.014610920144399131, 0.014607731126684564, 0.01449743891989086, 0.007302565889593882]; [0.03269998425412943, 0.0014745015684238445, 7.287682900004264e-5, 3.6595719734191894e-6, 1.8418395424843775e-7, 9.271522636364182e-9, 4.666803247333732e-10, 2.3488742505494375e-11, 1.1821783166666684e-12, 5.949724100668424e-14]
40; 0.05; -0.38893240679821073; 0.8082050776861669; -0.08632292054862795; [0.009918182519010554, 0.019637049720885313, 0.019837095798010962, 0.019844889169923663, 0.019845286800753703, 0.019845309670863065, 0.01984531106960663, 0.019845311157785206, 0.019845311163423585, 0.01984531116379218, 0.019845311163809054, 0.01984531116381505, 0.019845311163808166, 0.01984531116381638, 0.019845311163809498, 0.01984531116381749, 0.01984531116381416, 0.01984531116381194, 0.019845311163806834, 0.01984531116379773, 0.019845311163785295, 0.019845311163787516, 0.01984531116376309, 0.019845311163798396, 0.01984531116377375, 0.019845311163815493, 0.01984531116381838, 0.01984531116377708, 0.019845311163793067, 0.019845311163626755, 0.019845311163540602, 0.01984531116309851, 0.019845311157326906, 0.019845311069384586, 0.019845309671175038, 0.019845286804369255, 0.019844889163023405, 0.019837095730094623, 0.019637049710930166, 0.009918182506316597]; [0.04433020024807705, 0.0027057098722567735, 0.00018114451016831124, 1.2325653145953114e-5, 8.406463166036597e-7, 5.734597769530545e-8, 3.911681179730054e-9, 2.668061796544837e-10, 1.819747749013613e-11, 1.2411290428796824e-12]
40; 0.05714285714285714; -0.5075573591053519; 0.7804945478627231; -0.0970312339388133; [0.012922386869714919, 0.025505172661802744, 0.025838195643620887, 0.025854936718945343, 0.025856040938169622, 0.025856123092905747, 0.02585612959649608, 0.025856130127770438, 0.02585613017178634, 0.025856130175508252, 0.025856130175771153, 0.025856130175840653, 0.025856130175797798, 0.025856130175840653, 0.025856130175798686, 0.025856130175840875, 0.025856130175797576, 0.025856130175839764, 0.0258561301757958, 0.02585613017583288, 0.025856130175789138, 0.025856130175827108, 0.025856130175778036, 0.025856130175815784, 0.025856130175761605, 0.02585613017579913, 0.0258561301757394, 0.02585613017577737, 0.025856130175709202, 0.025856130175725633, 0.025856130175339498, 0.025856130171705738, 0.025856130127638544, 0.02585612959706496, 0.025856123097431682, 0.025856040954586046, 0.02585493670472805, 0.02583819544728083, 0.02550517265842367, 0.012922386836879185]; [0.057631246057335335, 0.004561203604690748, 0.00039592415555044495, 3.493196562149754e-5, 3.089352955541715e-6, 2.732766751294596e-7, 2.4171833702259994e-8, 2.137907387495114e-9, 1.8908240817953136e-10, 1.6722600309759885e-11]
40; 0.06428571428571428; -0.6417454273330598; 0.7535268128901235; -0.10852099459651987; [0.016309519211405332, 0.03207588530595973, 0.03259473044910055, 0.03262728693323913, 0.03262997288253877, 0.03263022423594286, 0.032630249276060175, 0.032630251852947545, 0.03263025212208892, 0.032630252150587236, 0.03263025215347359, 0.03263025215389126, 0.03263025215383286, 0.032630252153926786, 0.03263025215383575, 0.03263025215392834, 0.032630252153839745, 0.032630252153925676, 0.032630252153843076, 0.03263025215392723, 0.032630252153843964, 0.032630252153925454, 0.03263025215384352, 0.032630252153924566, 0.032630252153840855, 0.03263025215389015, 0.032630252153857287, 0.032630252153867056, 0.03263025215378246, 0.032630252153494466, 0.03263025215047599, 0.032630252122043846, 0.0326302518527275, 0.0326302492742121, 0.032630224220012716, 0.0326299727682382, 0.032627286524686605, 0.03259473021495318, 0.03207588494820657, 0.016309519151240792]; [0.0725519996668989, 0.0072110897171566496, 0.0007873790645912268, 8.746016218023039e-5, 9.740243596180472e-6, 1.085032455811176e-6, 1.20862667009507e-7, 1.3462149089551471e-8, 1.4994062919088896e-9, 1.6699920208123457e-10]
