# Hubbard model DMRG. This file contains many sizes. nmax=4, μ0=0.0, nsweeps=20, cutoff=[1.0e-8]
# L; J; E; deltaE_g^+; deltaE_g^-; nVariance; Γ; eΓ; C; eC [calculated 2025-02-12T15:11:59.191]
10; 0.0; 2.84438034700976e-29; -8.082651437652037e-30; -1.6364370858900846e-29; [0.24894117693530185, 0.24164858161963507, 0.19113733591505716, 0.055788279946146546, 0.08220590034507452, 0.14510250819543563, 0.23142287828275213, 0.23960305794435535, 0.041190853415276917, 0.09428505763030799]; [0.0019076546614801404, -0.04660558671768996, 0.2140025471170498]; [0.17043261497607276, 0.1640514159257669, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.007142857142857143; -0.03731321433461356; 0.011906218891265839; 0.020136707750805026; [0.2499483276509072, 0.2452216557181719, 0.24769846735130152, 0.22109990963218945, 0.16198280679483604, 0.21305871266825016, 0.24222468858577945, 0.24978854484737037, 0.24944791970746877, 0.24007399344093658]; [0.26382044376897645, -0.04321716632226047, -0.09833119161865192]; [0.08252674828228065, 0.013352953678389394, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.014285714285714285; -0.07490222502435098; -0.00706101551831001; 0.020478638965977528; [0.13611368082431363, 0.15148050425826318, 0.21616126764692822, 0.24679685104812876, 0.24770306883985416, 0.24738450266751438, 0.2505200918600249, 0.24990753850316727, 0.25034806512686253, 0.2500237647010982]; [0.33415060060002527, 0.17441421047025218, 0.1259377534717485]; [0.03597901279974988, 0.020644830787927178, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.02142857142857143; -0.11889186883419015; 0.013332455068780558; 0.015237125627135265; [0.0965898697986265, 0.23581014137702494, 0.24720916410878652, 0.22030528753368234, 0.2488458690808041, 0.23166518903388406, 0.24866678909764686, 0.24416417104191585, 0.25121643546705685, 0.22869096219525903]; [0.30986950071515884, 0.12673991653280114, 0.05136647819862243]; [0.043197738477561996, 0.021483571396554962, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.02857142857142857; -0.17565795311374727; 0.01959544180385575; 0.008251640322614578; [0.24635493352302584, 0.25138514863596745, 0.2482883392129716, 0.2505362951016, 0.25147524256039255, 0.24964415010541857, 0.2504185041085322, 0.24597095566115246, 0.25139069538402714, 0.23442768796051644]; [0.3495012104369811, 0.1933481311955708, 0.14847066924787575]; [0.00889618882168421, 0.005667038548313625, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.03571428571428571; -0.22054387415870058; 0.01231679945217276; 0.011906996264066882; [0.22669855237536174, 0.25181095619813615, 0.23527085664609848, 0.2448935230247143, 0.2490125307246892, 0.2454841949811179, 0.2514225547395623, 0.25101418304425027, 0.25188389705259046, 0.250473591591328]; [0.35708916996571494, 0.19830618016944213, 0.1449476659181056]; [0.02347513295069891, 0.006580709435519815, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.04285714285714286; -0.2679246626923742; -0.0037738669450893547; 0.002649072854726875; [0.24413336834990096, 0.2532590758363479, 0.24124600823921116, 0.2530066338009734, 0.24697577281476324, 0.2388317308092509, 0.2510861689341986, 0.23599688609699598, 0.2529800064936881, 0.23471549849935092]; [0.3642985958835239, 0.1940630027895122, 0.1392137736962174]; [0.022064657884232723, 0.006639877488923946, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.05; -0.3144592858622266; 0.004703698511710763; -0.005389164996687235; [0.2459592966091415, 0.2549989532971517, 0.240636087713068, 0.2560378653917242, 0.24139346660070754, 0.2512640704284146, 0.24151302026703841, 0.22385360079779149, 0.2534879012943372, 0.22420721134667365]; [0.3711172450131338, 0.2029679418330114, 0.1323849821819977]; [0.03350318004937738, 0.01646608463755535, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.05714285714285714; -0.3638047542818745; -0.005839322797238478; -0.005147937345567233; [0.24857987569659715, 0.25462216239362606, 0.2506642262137766, 0.25559827551195313, 0.23589489368332534, 0.25392155138962125, 0.2497881132714705, 0.24417433245811954, 0.2557169347302537, 0.2405514329154942]; [0.3835969844883758, 0.20850018603623546, 0.1425153950863663]; [0.026070044984363203, 0.006575819240789498, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.06428571428571428; -0.40789450476425465; -0.008776671899237198; -0.011939694006862955; [0.21145577111534142, 0.2546639935312473, 0.24584938755153818, 0.2387350339276304, 0.25668534593065884, 0.24575770469006347, 0.2549364715427157, 0.2558354760943623, 0.2536875029231778, 0.2411719602460914]; [0.38956642759744714, 0.22405581786134077, 0.14246214825045517]; [0.02789749871616479, 0.012047411475627485, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.07142857142857142; -0.4741346485808514; 0.012821579656425497; 0.001836452863385074; [0.24426879515091998, 0.2597745435362746, 0.2450539215126859, 0.25805492978515315, 0.2519057922135117, 0.25178382393320486, 0.2584231766684718, 0.2451995641317105, 0.2597271018515852, 0.24464137512409645]; [0.4060207192255607, 0.24785240426292973, 0.1906618802009491]; [0.01634649262528985, 0.008119659133157719, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.07857142857142857; -0.5184727553672591; -0.009919555939560842; -0.008335267896619203; [0.24732701113682629, 0.25784894575769424, 0.2606932253882329, 0.2598945634731039, 0.26014293597438304, 0.2606271470165574, 0.2594683344276259, 0.26025719477439496, 0.2572149140977692, 0.24383797027396079]; [0.3964270506336264, 0.25231217062117267, 0.20240551089923928]; [0.025957812165609117, 0.018020229071989167, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.08571428571428572; -0.5832601366093887; 0.006495760862669897; 0.00024922799947091345; [0.2468492217811904, 0.2637039946662103, 0.24917785369629902, 0.2626770652332637, 0.25605125833999465, 0.2561160324225269, 0.2626149653318813, 0.24909784035012406, 0.26372563358967305, 0.24665935353441426]; [0.42484258578512557, 0.26810400374748405, 0.2103464510224201]; [0.014991151479626643, 0.008208288076966589, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.09285714285714286; -0.6365497070055679; 0.0005473378591590583; -0.002512102328258492; [0.24880629947257804, 0.2655892975187689, 0.25314190106880347, 0.26484845685072, 0.25922716959257397, 0.25942652120337484, 0.26456439977397306, 0.25331718095044176, 0.2658180244142112, 0.2473443542411286]; [0.431594655046145, 0.2755877544836681, 0.21510582031001851]; [0.011597074949493138, 0.006533860972307765, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.1; -0.6951877011200984; -0.0006759671222398289; 0.021240018560349183; [0.24970379007234939, 0.2680879623227333, 0.25481260395692285, 0.267289160380136, 0.2613738446734141, 0.2611261401085138, 0.26760548747140966, 0.25512543961298234, 0.2678306018520849, 0.25015018089470603]; [0.44158088498535353, 0.28586557171723165, 0.22554312377315866]; [0.012152550542063257, 0.006649356450084662, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
