# Hubbard model DMRG. This file contains many sizes. nmax=4, μ0=0.0, nsweeps=10, cutoff=[1.0e-8]
# L; J; E; deltaE_g^+; deltaE_g^-; nVariance; Γ; eΓ; C; eC [calculated 2025-02-10T16:36:10.663]
50; 0.0; 0.0; 1.0; 0.0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, NaN]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
50; 0.007142857142857143; -0.00999945803874347; 0.9722472823837656; -0.01365682607335339; [0.00020404691632369687, 0.0004080105514248089, 0.0004081006239908813, 0.00040810068798657895, 0.0004081006880340965, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.00040810068803387445, 0.0004081006880336524, 0.00040810068803343036, 0.0004081006879879112, 0.0004081006255194364, 0.0004080105452490823, 0.00020404691553321808]; [0.028568508734680753, 2.9137699758168442e-5, 2.904978043186497e-8, 2.887860191636098e-11, 2.869775535777733e-14, 2.8516672587923054e-17, 2.83365569175748e-20, 2.8157556373160775e-23, 2.797968367856652e-26, 2.7802934244403495e-29, 2.762730130012145e-32, 2.745277783448308e-35, 2.7279356844187705e-38]; [1.5564249927878216e-17, 2.0251641344842146e-20, 3.027074204471043e-23, 2.9760734642416555e-26, 4.6348515336714575e-29, 3.694115233765021e-32, 1.5344303700379972e-35, 1.7632415262334313e-38, 1.9674763803613901e-41, 1.189041175908448e-44, 1.7092004111068812e-47, 2.035516959742229e-50, NaN]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
50; 0.014285714285714285; -0.03999130364808501; 0.9437563567831537; -0.027284611587375718; [0.0008157706543726606, 0.0016302096468334693, 0.00163164279409167, 0.0016316468555637176, 0.0016316468675541262, 0.0016316468676036422, 0.0016316468676036422, 0.0016316468676034201, 0.0016316468676034201, 0.001631646867603198, 0.001631646867603198, 0.001631646867602976, 0.001631646867602976, 0.001631646867602754, 0.001631646867602754, 0.001631646867602532, 0.001631646867602532, 0.00163164686760231, 0.00163164686760231, 0.0016316468676020879, 0.0016316468676020879, 0.0016316468676018658, 0.0016316468676018658, 0.0016316468676016438, 0.0016316468676018658, 0.0016316468676014217, 0.0016316468676014217, 0.0016316468676011997, 0.0016316468676011997, 0.0016316468676009777, 0.0016316468676011997, 0.0016316468676007556, 0.0016316468676009777, 0.0016316468676007556, 0.0016316468676007556, 0.0016316468676005336, 0.0016316468676005336, 0.0016316468676003115, 0.0016316468676003115, 0.0016316468676000895, 0.0016316468676000895, 0.0016316468676005336, 0.0016316468676009777, 0.0016316468676000895, 0.0016316468676007556, 0.0016316468675658946, 0.0016316468559367525, 0.001631642888360707, 0.0016302092594961959, 0.0008157706019003008]; [0.057119393252784346, 0.00023269691629533505, 9.266739468818187e-7, 3.679678593426875e-9, 1.4606001864930674e-11, 5.797382803512968e-14, 2.3010704428756305e-16, 9.133295365055178e-19, 3.6251421972783656e-21, 1.4388734022143646e-23, 5.711104699816263e-26, 2.266823254556179e-28, 8.99736204698653e-31]; [3.7741034538501896e-17, 2.0739432713508708e-19, 3.2805444984048907e-22, 2.5828706348538094e-24, 1.1337923002894795e-26, 4.199738480170352e-29, 1.1908000601976793e-31, 2.790937641088311e-34, 1.550939958642289e-36, 4.488993201363424e-39, 1.5185867772642027e-41, 4.484155085839415e-44, NaN]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
50; 0.02142857142857143; -0.0899557639793076; 0.9155033061291493; -0.04057471334021745; [0.0018339170241586933, 0.003661099607389806, 0.0036682878120173346, 0.003668333440826732, 0.003668333743277019, 0.0036683337452461107, 0.003668333745257879, 0.003668333745257879, 0.003668333745257879, 0.003668333745257879, 0.003668333745257879, 0.003668333745257879, 0.003668333745257879, 0.003668333745257879, 0.003668333745257879, 0.003668333745257879, 0.003668333745257879, 0.003668333745257879, 0.003668333745257879, 0.003668333745257879, 0.003668333745257879, 0.003668333745257879, 0.003668333745258323, 0.003668333745258323, 0.003668333745258323, 0.003668333745258323, 0.003668333745258323, 0.003668333745258323, 0.003668333745258323, 0.003668333745258323, 0.003668333745258323, 0.003668333745258323, 0.003668333745258323, 0.003668333745258323, 0.003668333745258323, 0.003668333745258323, 0.003668333745257879, 0.003668333745257879, 0.003668333745257879, 0.003668333745258545, 0.003668333745258323, 0.003668333745258101, 0.003668333745257657, 0.003668333745257435, 0.0036683337452447784, 0.0036683337433132124, 0.003668333449750927, 0.0036682888329950813, 0.0036610953393754198, 0.001833916399698543]; [0.08563450375474081, 0.0007830644648553602, 6.9998888079768546e-6, 6.239256956743917e-8, 5.559212416999218e-10, 4.953051411931622e-12, 4.412957178081557e-14, 3.9317531474935253e-16, 3.503020897808005e-18, 3.121039085223181e-20, 2.78070991834622e-22, 2.4774914498437665e-24, 2.207336998144362e-26]; [4.6461236308712526e-17, 2.1560486640816198e-19, 2.725024921381467e-21, 7.545048052411309e-23, 2.532713032347184e-25, 1.7405762395989606e-27, 2.38230769075058e-29, 1.3412085422322422e-31, 2.9836378402295765e-33, 6.949601073952072e-36, 8.144063758537584e-38, 9.718955374490897e-40, NaN]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
50; 0.02857142857142857; -0.15985967383558863; 0.8874678906327889; -0.0532643276702327; [0.0032564190714983177, 0.006491538875674774, 0.006513991021366294, 0.006514269877450296, 0.006514276595912971, 0.006514276713528888, 0.006514276715835932, 0.006514276715867684, 0.006514276715869016, 0.006514276715869238, 0.006514276715868794, 0.006514276715868572, 0.006514276715868794, 0.006514276715868794, 0.006514276715868572, 0.006514276715868794, 0.006514276715868128, 0.006514276715868572, 0.00651427671586835, 0.00651427671586835, 0.00651427671586835, 0.006514276715867684, 0.006514276715867906, 0.006514276715868128, 0.006514276715867462, 0.00651427671586835, 0.006514276715868128, 0.006514276715867906, 0.006514276715868572, 0.006514276715868128, 0.00651427671586724, 0.006514276715868128, 0.006514276715867684, 0.006514276715867684, 0.006514276715867684, 0.006514276715867018, 0.006514276715868128, 0.006514276715868572, 0.006514276715867684, 0.006514276715867462, 0.006514276715867906, 0.00651427671586724, 0.006514276715861023, 0.006514276715185119, 0.006514276695329668, 0.0065142757796077255, 0.006514259905963771, 0.006514015574219156, 0.0064915733701025324, 0.0032563971733424735]; [0.11409549757785, 0.0020285616771480853, 4.3538994037996815e-5, 9.712903690521506e-7, 2.179768718285103e-8, 4.895279927369085e-10, 1.099346411010432e-11, 2.468644901431991e-13, 5.54320265619838e-15, 1.2446594357652413e-16, 2.7946900033197856e-18, 6.274992115016724e-20, 1.4089345931612583e-21]; [4.184197135089375e-16, 1.2024309121553648e-16, 8.641394322946086e-17, 4.08231715905659e-18, 1.1416760161591408e-19, 2.9152527256701548e-21, 7.614810405544241e-23, 1.6387248554090994e-24, 2.6600698833144444e-26, 3.7383851926069263e-28, 9.228250619173729e-30, 1.2560577891921344e-31, NaN]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
50; 0.03571428571428571; -0.2496586222687127; 0.8595314820963453; -0.06547121343317272; [0.005080553869983184, 0.010109131552755946, 0.010163281902052068, 0.010164377890689247, 0.010164406866171039, 0.010164407729404523, 0.010164407753123106, 0.010164407756717786, 0.01016440775456795, 0.01016440775635763, 0.010164407754957194, 0.010164407756078075, 0.010164407755200555, 0.01016440775591021, 0.010164407755330895, 0.010164407755820282, 0.010164407755403282, 0.010164407755765659, 0.010164407755445248, 0.010164407755741678, 0.010164407755447247, 0.010164407755751892, 0.010164407755439253, 0.010164407755753668, 0.010164407755451466, 0.01016440775573102, 0.010164407755471006, 0.010164407755733462, 0.010164407755427263, 0.01016440775581584, 0.010164407755365978, 0.010164407755780092, 0.010164407755470783, 0.01016440775568972, 0.010164407755502758, 0.010164407755708371, 0.010164407755391736, 0.010164407755933302, 0.010164407755023142, 0.010164407756345417, 0.010164407754627236, 0.010164407756749538, 0.010164407753924909, 0.01016440775661187, 0.010164407725411717, 0.010164406872107623, 0.01016437793483127, 0.010163281746703001, 0.0101091313364301, 0.005080553829680756]; [0.14248743932471672, 0.0039533511125359145, 0.000132506948824907, 4.617327592719931e-6, 1.6186527729153506e-7, 5.678398756149121e-9, 1.9919946441839353e-10, 6.9874247925912975e-12, 2.450890361638062e-13, 8.596428264992116e-15, 3.0151254181693035e-16, 1.0575211644027602e-17, 3.709119463001247e-19]; [6.243330468081741e-13, 7.249620192757991e-11, 4.564546334384451e-12, 2.0127482744656717e-13, 8.033176113660257e-15, 2.8113823406502366e-16, 1.0025731384077908e-17, 3.668733066794115e-19, 1.3218307773072497e-20, 4.506713375858745e-22, 1.72287441938688e-23, 7.334069285174113e-25, NaN]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
50; 0.04285714285714286; -0.35928940000731246; 0.8319841897898254; -0.07763660242666276; [0.007302562511257049, 0.014497434736587378, 0.014607725835434904, 0.014610910716570169, 0.014611030916895862, 0.014611036021083157, 0.014611036233784125, 0.014611036257304644, 0.014611036246998887, 0.014611036256276577, 0.014611036248696863, 0.014611036255060217, 0.014611036249883913, 0.01461103625417115, 0.014611036250673726, 0.014611036253593612, 0.014611036251135356, 0.014611036253282306, 0.014611036251347853, 0.014611036253153742, 0.014611036251433118, 0.01461103625310467, 0.0146110362514551, 0.014611036253120435, 0.014611036251378273, 0.014611036253261211, 0.014611036251183984, 0.01461103625347615, 0.014611036251009901, 0.014611036253599163, 0.014611036250987697, 0.014611036253591392, 0.01461103625097504, 0.014611036253663112, 0.014611036250825826, 0.014611036253848297, 0.014611036250722798, 0.014611036253886267, 0.014611036250870013, 0.014611036253851628, 0.014611036250342657, 0.014611036254932763, 0.014611036247552, 0.014611036246807929, 0.014611036005173439, 0.014611030942791148, 0.01461091088096289, 0.014607725179687225, 0.014497433833057238, 0.007302562336031326]; [0.17078570935938062, 0.006789383734093431, 0.0003255892958581314, 1.6227200964576258e-5, 8.135878688758857e-7, 4.0819863663291745e-8, 2.0479946050318558e-9, 1.0274320729824542e-10, 5.154130885906515e-12, 2.585504787971746e-13, 1.2969657910737145e-14, 6.505910680964211e-16, 3.263516223874027e-17]; [2.593048945766694e-12, 2.844940094763343e-10, 2.2607651586999934e-11, 1.2846419426421947e-12, 6.958297255985416e-14, 3.68850908350992e-15, 1.93680708409895e-16, 1.0093702870475933e-17, 5.203453726969644e-19, 2.6844862790905018e-20, 1.4284265938081766e-21, 7.978275804533854e-23, NaN]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
50; 0.05; -0.4886775669059961; 0.804138062812766; -0.08923327498822825; [0.009918167551251522, 0.0196370309689331, 0.01983707277629887, 0.01984484931038133, 0.019845244681030882, 0.019845267277597722, 0.01984526858232183, 0.019845268711762953, 0.019845268681363715, 0.019845268711038422, 0.019845268688238882, 0.019845268706396135, 0.019845268692518347, 0.019845268703248653, 0.01984526869519221, 0.019845268701257135, 0.01984526869679959, 0.01984526870005099, 0.019845268697749496, 0.019845268699324015, 0.0198452686983297, 0.019845268698848173, 0.019845268698742036, 0.01984526869847225, 0.019845268699103746, 0.019845268698117646, 0.019845268699463903, 0.01984526869774328, 0.019845268699845597, 0.019845268697326945, 0.019845268700276808, 0.019845268696869756, 0.019845268700719787, 0.01984526869657488, 0.019845268700756202, 0.01984526869718284, 0.019845268699284935, 0.019845268700031005, 0.019845268694679508, 0.019845268706425, 0.019845268685629636, 0.019845268716297326, 0.019845268666810245, 0.019845268639338665, 0.019845267207789785, 0.01984524478686933, 0.019844849783398066, 0.019837070563473613, 0.019637027964942044, 0.009918166937260109]; [0.1989716149305307, 0.010702595616243999, 0.0006932678348977242, 4.6651991974124375e-5, 3.1578927450752798e-6, 2.1390798384970846e-7, 1.4489280572540074e-8, 9.813730060241602e-10, 6.646602578777067e-11, 4.5014567777740155e-12, 3.0485957589415506e-13, 2.0646339487451358e-14, 1.3982487157099263e-15]; [3.2278543006778663e-12, 1.995420061183495e-10, 1.863615582137034e-11, 1.2631530203189607e-12, 8.150724214397615e-14, 5.194420110402081e-15, 3.313696615234442e-16, 2.157025968747243e-17, 1.4795813791228583e-18, 1.1529520467937983e-19, 1.1082856695118352e-20, 1.2606903631728266e-21, NaN]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
50; 0.05714285714285714; -0.6377322433190186; 0.7767343564580158; -0.10025214414924344; [0.012922342755016136, 0.025505117085176332, 0.025838127710422265, 0.025854820952203594, 0.02585591628908146, 0.02585599700641561, 0.025856003109474113, 0.025856003745351464, 0.025856003679618267, 0.02585600377060726, 0.025856003702678043, 0.025856003756944856, 0.025856003715613474, 0.02585600374740915, 0.025856003723757626, 0.025856003741317135, 0.025856003728684573, 0.025856003737609656, 0.025856003731592025, 0.025856003735406308, 0.025856003733298882, 0.02585600373409469, 0.025856003734313404, 0.025856003733312427, 0.025856003734893163, 0.025856003732917188, 0.025856003735089006, 0.025856003732943167, 0.025856003734763044, 0.025856003733615962, 0.025856003733604416, 0.025856003735309496, 0.025856003731149046, 0.02585600373857244, 0.025856003726745236, 0.025856003744170408, 0.02585600371946395, 0.025856003753260248, 0.025856003707856567, 0.025856003767358082, 0.025856003689619378, 0.025856003783931047, 0.02585600361991003, 0.02585600326520776, 0.02585599681923534, 0.025855916576559723, 0.02585482214217394, 0.025838121310887585, 0.02550510864319877, 0.012922340930819898]; [0.22702332814406215, 0.015840626452374627, 0.0013283516975561623, 0.00011566463412456955, 1.0130024196964256e-5, 8.87805871826237e-7, 7.780646951768147e-8, 6.818381822272464e-9, 5.974830569361013e-10, 5.235496346028917e-11, 4.58757992229997e-12, 4.0198141221134494e-13, 3.5223013262126306e-14]; [1.3408064211560407e-11, 5.727884804731779e-10, 5.980094532281017e-11, 5.0697654258794524e-12, 4.414726644104119e-13, 4.063143082762587e-14, 3.940924537986823e-15, 4.00148184370865e-16, 4.230812954719734e-17, 4.6394624911848234e-18, 5.269584584564805e-19, 6.270641755767309e-20, NaN]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
50; 0.06428571428571428; -0.8063469871254698; 0.7494894219938192; -0.11094506203579668; [0.016309417173935747, 0.03207584092376381, 0.03259467117520187, 0.03262715378855985, 0.03262989841301245, 0.03263015617079157, 0.03263018144619645, 0.03263018413829899, 0.032630184353515945, 0.03263018440810184, 0.032630184397616224, 0.0326301844044421, 0.03263018440141563, 0.032630184402797635, 0.03263018440221721, 0.03263018440242882, 0.0326301844023833, 0.03263018440235599, 0.03263018440241661, 0.032630184402342, 0.03263018440242771, 0.03263018440233467, 0.03263018440243326, 0.032630184402331563, 0.032630184402442364, 0.03263018440232712, 0.03263018440244969, 0.03263018440232024, 0.03263018440245902, 0.032630184402316464, 0.03263018440247123, 0.032630184402303364, 0.03263018440248522, 0.03263018440229204, 0.03263018440250809, 0.03263018440226184, 0.032630184402554496, 0.0326301844021879, 0.0326301844026351, 0.032630184401648776, 0.03263018439965415, 0.03263018437042864, 0.032630184104584625, 0.03263018151054031, 0.032630156068700344, 0.03262989899452595, 0.032627157160555864, 0.03259468058457338, 0.03207582110613538, 0.01630941149416054]; [0.25491876004345676, 0.02236014981031791, 0.002361615487895535, 0.00025932751009680134, 2.8652636043445427e-5, 3.16820092607898e-6, 3.503141566186939e-7, 3.873212689076212e-8, 4.282164582174157e-9, 4.7341601661913e-10, 5.233783324610489e-11, 5.786085639702975e-12, 6.396641317885825e-13]; [2.448258826948538e-13, 6.85861857025839e-12, 4.312190687794182e-12, 1.0489194231628181e-12, 1.738009260947483e-13, 2.4003624805245287e-14, 2.9683430612171456e-15, 3.3760521644289153e-16, 3.5563561081915495e-17, 3.4447906660805943e-18, 2.989128713918634e-19, 2.2863674683220378e-20, NaN]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
