# Hubbard model DMRG. nmax=3, μ0=0.0.
# L, J, DeltaE_g^+, DeltaE_g^- [calculated 2025-02-02T11:33:48.648]
10, 0.0, 1.0, 0.0
10, 0.03, 0.8865010183236843, 0.05329202034493326
10, 0.06, 0.7770101337276168, 0.09834056218251933
10, 0.09, 0.6733580896881229, 0.13362134909224066
10, 0.12, 0.5774069460709915, 0.15799360260392203
10, 0.15, 0.49102294071037617, 0.17021319920622635
10, 0.18, 0.4153198950565222, 0.16972109151114445
10, 0.21, 0.34988255890051434, 0.15731818252747898
10, 0.24, 0.29276519091444775, 0.13514571627945537
10, 0.27, 0.2414246830804716, 0.10583154715742227
10, 0.3, 0.19366212076707345, 0.07163591026757654
15, 0.0, 1.0, 0.0
15, 0.03, 0.8841229594933417, 0.05338437599245205
15, 0.06, 0.7708688787090593, 0.1014949267802876
15, 0.09, 0.6630057773718185, 0.1396161490903115
15, 0.12, 0.5621208439104147, 0.16697241633781434
15, 0.15, 0.4703996782729788, 0.1821269362809852
15, 0.18, 0.3898651160878357, 0.18366755804541546
15, 0.21, 0.32107760432619936, 0.1715688360885781
15, 0.24, 0.26221167636165355, 0.14795988644061264
15, 0.27, 0.2100093067065818, 0.11620305837824318
15, 0.3, 0.16154634801226653, 0.07927271100864086
20, 0.0, 1.0, 0.0
20, 0.03, 0.8841521611526982, 0.05288735231387824
20, 0.06, 0.7691240696785058, 0.10183706437157874
20, 0.09, 0.6589869367859085, 0.1417729877678393
20, 0.12, 0.5557062780883689, 0.1709864899403386
20, 0.15, 0.4612106452312976, 0.18791068069109085
20, 0.18, 0.37781210214707595, 0.19098902156940323
20, 0.21, 0.3068665055024469, 0.1794860220668406
20, 0.24, 0.24696494044771766, 0.15522890488185537
20, 0.27, 0.19441029149004407, 0.12206072059301754
20, 0.3, 0.14569495943770594, 0.0835381417496297
25, 0.0, 1.0, 0.0
25, 0.03, 0.8842725237388953, 0.05287963109564675
25, 0.06, 0.7687730417346704, 0.10182776310824238
25, 0.09, 0.6574498907657919, 0.14214027738422608
25, 0.12, 0.552555857439312, 0.17263183240986812
25, 0.15, 0.45631993403636284, 0.19108941675448454
25, 0.18, 0.3710149701919616, 0.1953922940161581
25, 0.21, 0.29849353547790747, 0.18452044119227828
25, 0.24, 0.23783654131381216, 0.15996584081832843
25, 0.27, 0.1850976316412316, 0.12586943595328215
25, 0.3, 0.13627803201935418, 0.08628552961844793
30, 0.0, 1.0, 0.0
30, 0.03, 0.8842882209002358, 0.05288096819641819
30, 0.06, 0.769111628474375, 0.10151553979583228
30, 0.09, 0.6572484941465181, 0.14178268825565388
30, 0.12, 0.5512757450962935, 0.17320279109109582
30, 0.15, 0.4535399465233123, 0.19268430573036222
30, 0.18, 0.3667935456246836, 0.19813883865830473
30, 0.21, 0.2930349903397156, 0.18793527027313583
30, 0.24, 0.23176595887543883, 0.16328190503066242
30, 0.27, 0.17891121392739961, 0.1285423233023124
30, 0.3, 0.13004809898235337, 0.08819867164650752
