# Hubbard model DMRG. L=10, N=10, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Calculation performed on central site.
# J; μ; E; n_variance; <a> [calculated 2025-02-19T12:02:35.571]
0.0; 0.0; 1.8752545297291808e-29; 0.06665003873001785; -0.25816668787823516 # SF
0.0; 0.02040816326530612; -0.20408163265306145; 0.0; 0.0 # MI
0.0; 0.04081632653061224; -0.4081632653061229; 0.0; 0.0 # MI
0.0; 0.061224489795918366; -0.6122448979591832; 0.0; 0.0 # MI
0.0; 0.08163265306122448; -0.8163265306122447; 0.0; 0.0 # MI
0.0; 0.10204081632653061; -1.0204081632653061; 0.0; 0.0 # MI
0.0; 0.12244897959183673; -1.2244897959183678; 0.0; 0.0 # MI
0.0; 0.14285714285714285; -1.428571428571428; 0.0; 0.0 # MI
0.0; 0.16326530612244897; -1.6326530612244894; 0.0; 0.0 # MI
0.0; 0.1836734693877551; -1.8367346938775508; 0.0; 0.0 # MI
0.0; 0.20408163265306123; -2.0408163265306123; 0.0; 0.0 # MI
0.0; 0.22448979591836735; -2.2448979591836737; 0.0; 0.0 # MI
0.0; 0.24489795918367346; -2.4489795918367356; 0.0; 0.0 # MI
0.0; 0.2653061224489796; -2.6530612244897966; 0.0; 0.0 # MI
0.0; 0.2857142857142857; -2.8571428571428563; 0.0; 0.0 # MI
0.0; 0.30612244897959184; -3.061224489795919; 0.0; 0.0 # MI
0.0; 0.32653061224489793; -3.2653061224489788; 0.0; 0.0 # MI
0.0; 0.3469387755102041; -3.4693877551020407; 0.0; 0.0 # MI
0.0; 0.3673469387755102; -3.6734693877551017; 0.0; 0.0 # MI
0.0; 0.3877551020408163; -3.8775510204081627; 0.0; 0.0 # MI
0.0; 0.40816326530612246; -4.081632653061225; 0.0; 0.0 # MI
0.0; 0.42857142857142855; -4.285714285714287; 0.0; 0.0 # MI
0.0; 0.4489795918367347; -4.4897959183673475; 0.0; 0.0 # MI
0.0; 0.46938775510204084; -4.693877551020408; 0.0; 0.0 # MI
0.0; 0.4897959183673469; -4.8979591836734695; 0.0; 0.0 # MI
0.0; 0.5102040816326531; -5.102040816326529; 0.0; 0.0 # MI
0.0; 0.5306122448979592; -5.306122448979593; 0.0; 0.0 # MI
0.0; 0.5510204081632653; -5.5102040816326525; 0.0; 0.0 # MI
0.0; 0.5714285714285714; -5.714285714285713; 0.0; 0.0 # MI
0.0; 0.5918367346938775; -5.918367346938776; 0.0; 0.0 # MI
0.0; 0.6122448979591837; -6.122448979591838; 0.0; 0.0 # MI
0.0; 0.6326530612244898; -6.326530612244898; 0.0; 0.0 # MI
0.0; 0.6530612244897959; -6.5306122448979576; 0.0; 0.0 # MI
0.0; 0.673469387755102; -6.73469387755102; 0.0; 0.0 # MI
0.0; 0.6938775510204082; -6.938775510204081; 0.0; 0.0 # MI
0.0; 0.7142857142857143; -7.142857142857144; 0.0; 0.0 # MI
0.0; 0.7346938775510204; -7.346938775510203; 0.0; 0.0 # MI
0.0; 0.7551020408163265; -7.5510204081632635; 0.0; 0.0 # MI
0.0; 0.7755102040816326; -7.755102040816325; 0.0; 0.0 # MI
0.0; 0.7959183673469388; -7.959183673469389; 0.0; 0.0 # MI
0.0; 0.8163265306122449; -8.16326530612245; 0.0; 0.0 # MI
0.0; 0.8367346938775511; -8.36734693877551; 0.0; 0.0 # MI
0.0; 0.8571428571428571; -8.571428571428575; 0.0; 0.0 # MI
0.0; 0.8775510204081632; -8.775510204081629; 0.0; 0.0 # MI
0.0; 0.8979591836734694; -8.979591836734695; 0.0; 0.0 # MI
0.0; 0.9183673469387755; -9.183673469387756; 0.0; 0.0 # MI
0.0; 0.9387755102040817; -9.387755102040815; 0.0; 0.0 # MI
0.0; 0.9591836734693877; -9.59183673469388; 0.0; 0.0 # MI
0.0; 0.9795918367346939; -9.795918367346939; 0.0; 0.0 # MI
0.0; 1.0; -10.0; 0.0; 0.0 # MI
0.007142857142857143; 0.0; -0.019651302275375926; 0.22853221602650192; 0.4506797187465697 # SF
