# Hubbard model DMRG. L=12, N=12, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Check the code.
# J, μ, E, n_variance, <a_i> [calculated 2025-02-11T17:29:05.045 @site  i=6]
0.0, 0.1, -0.9839043041543636, 0.0024312236112129515, -0.03350180001240541 # MI
0.0, 0.14736842105263157, -1.6206736949333518, 0.0015932048173153968, 0.008490757945663912 # MI
0.0, 0.19473684210526315, -2.335127662051079, 0.0027671130134241384, -0.036645373549100344 # MI
0.0, 0.24210526315789474, -2.8812203621784787, 0.00011970617798795491, 0.010507330150545351 # MI
0.0, 0.2894736842105263, -3.473502997178647, 5.403733904785213e-9, 8.943317926722163e-5 # MI
0.0, 0.3368421052631579, -4.042105196439525, 1.5128454045054696e-11, -3.700341293494736e-6 # MI
0.0, 0.38421052631578945, -4.610526315783121, 1.8984813721090177e-13, 4.084736557604071e-7 # MI
0.0, 0.43157894736842106, -5.178947367502598, 1.0965894858827596e-11, 3.1791387470334195e-6 # MI
0.0, 0.4789473684210526, -5.747368421052619, 1.6653345369377348e-15, 6.364653890405019e-13 # MI
0.0, 0.5263157894736842, -6.315789473684208, 2.220446049250313e-16, 0.0 # MI
0.0, 0.5736842105263158, -6.884210526315783, 2.220446049250313e-16, 8.212850608069902e-19 # MI
0.0, 0.6210526315789474, -7.452631244647081, 8.258927763904467e-8, 0.000235258418178615 # MI
0.0, 0.6684210526315789, -8.021052631578872, -6.661338147750939e-16, -2.5709188674702876e-8 # MI
0.0, 0.7157894736842105, -8.586580377479882, 6.777404145097421e-5, 0.00283875564783979 # MI
0.0, 0.7631578947368421, -9.157777799333584, 0.0002454267480542782, 0.02088886739502669 # MI
0.0, 0.8105263157894737, -9.726315788501005, -1.3322676295501878e-15, 7.750749112191579e-9 # MI
0.0, 0.8578947368421053, -10.29447755002089, 0.00036515435078920966, -0.020394336258209637 # MI
0.0, 0.9052631578947369, -10.79658749383591, 0.041269380462887195, -0.25590057040372854 # MI
0.0, 0.9526315789473684, -11.275278815756437, 0.013708667181279832, 0.1600409429410577 # MI
0.0, 1.0, -11.99999999999999, 0.24921648537222119, 0.7059978546316116 # SF
0.018421052631578946, 0.1, -1.1935133542730607, 0.00983282263305263, -0.08350493466162774 # MI
0.018421052631578946, 0.14736842105263157, -1.7796571215568633, 0.0032140897056164297, -0.0037128333951562905 # MI
0.018421052631578946, 0.19473684210526315, -2.3381612254362287, 0.006220483173133173, 0.06361336907058103 # MI
0.018421052631578946, 0.24210526315789474, -2.920186786530962, 0.0027123468999353806, 0.0005458222179694557 # MI
0.018421052631578946, 0.2894736842105263, -3.488328534615644, 0.002803457035211898, 0.00865298382688688 # MI
0.018421052631578946, 0.3368421052631579, -4.057029528395924, 0.0027118877841332267, 4.081499867115222e-6 # MI
0.018421052631578946, 0.38421052631578945, -4.62545058496627, 0.0027118877261931296, -2.5177455088504516e-7 # MI
0.018421052631578946, 0.43157894736842106, -5.1938716376201075, 0.0027118877017864307, -4.309440888673721e-9 # MI
0.018421052631578946, 0.4789473684210526, -5.762292690239549, 0.0027118876503189338, 1.669502210314783e-9 # MI
0.018421052631578946, 0.5263157894736842, -6.330713742888069, 0.0027118877106848682, 8.887564989155152e-8 # MI
0.018421052631578946, 0.5736842105263158, -6.899134795495625, 0.0027118875749849725, 2.789554326121223e-9 # MI
0.018421052631578946, 0.6210526315789474, -7.467555848138311, 0.00271188763466923, -1.0171305438662723e-8 # MI
0.018421052631578946, 0.6684210526315789, -8.035976900422684, 0.002711887746634778, 3.2050538179003296e-6 # MI
0.018421052631578946, 0.7157894736842105, -8.604397256281334, 0.002711996817065465, -0.0001642623305615916 # MI
0.018421052631578946, 0.7631578947368421, -9.163110662958712, 0.0027443967854547946, -0.004601574728528803 # MI
0.018421052631578946, 0.8105263157894737, -9.74123921249768, 0.002712467725669132, -0.001345962035894768 # MI
0.018421052631578946, 0.8578947368421053, -10.305275152333367, 0.0026987652061845058, 0.001942948471148722 # MI
0.018421052631578946, 0.9052631578947369, -10.858217961587377, 0.005700946651203909, 0.06652256267926629 # MI
0.018421052631578946, 0.9526315789473684, -11.450771872840155, 0.24549149937544668, 0.30978963633697937 # MI
