# Hubbard model DMRG. L=20, N=20, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Check the code.
# J, μ, E, n_variance [calculated 2025-02-11T11:49:08.416 @site  i=10]
0.0, 0.0, 0.0, 0.0 # SF
0.0, 0.1, -2.0000000000000004, 0.0 # MI
0.0, 0.2, -4.000000000000001, 0.0 # MI
0.0, 0.3, -5.999999999999998, 0.0 # MI
0.0, 0.4, -8.000000000000002, 0.0 # MI
0.0, 0.5, -10.0, 0.0 # MI
0.0, 0.6, -11.999999999999996, 0.0 # MI
0.0, 0.7, -13.999999999999995, 0.0 # MI
0.0, 0.8, -16.000000000000004, 0.0 # MI
0.0, 0.9, -18.0, 0.0 # MI
0.0, 1.0, -20.0, 0.0 # MI
0.03888888888888889, 0.0, -0.11473517427061686, 0.012042826457075995 # SF
0.03888888888888889, 0.1, -2.1147351742705744, 0.012042826457939526 # MI
0.03888888888888889, 0.2, -4.114735174270592, 0.012042826465711531 # MI
0.03888888888888889, 0.3, -6.114735174270434, 0.012042826436690302 # MI
0.03888888888888889, 0.4, -8.114735174270416, 0.012042826481881264 # MI
0.03888888888888889, 0.5, -10.114735174270326, 0.012042826485673563 # MI
0.03888888888888889, 0.6, -12.11473517427014, 0.01204282648090449 # MI
0.03888888888888889, 0.7, -14.114735174270033, 0.01204282648328836 # MI
0.03888888888888889, 0.8, -16.11473517427006, 0.012042826462085321 # MI
0.03888888888888889, 0.9, -18.11473517427004, 0.01204282650498767 # MI
0.03888888888888889, 1.0, -20.114735174270084, 0.012042826481451385 # SF
0.07777777777777778, 0.0, -0.45641734515705235, 0.04745098463147701 # SF
0.07777777777777778, 0.1, -2.4564173451448705, 0.04745098510619461 # MI
0.07777777777777778, 0.2, -4.456417345100334, 0.0474509854609797 # MI
0.07777777777777778, 0.3, -6.456417345066548, 0.04745098577654239 # MI
0.07777777777777778, 0.4, -8.456417345034257, 0.04745098628082678 # MI
0.07777777777777778, 0.5, -10.456417344991282, 0.04745098703961603 # MI
0.07777777777777778, 0.6, -12.4564173448668, 0.04745098793008462 # MI
0.07777777777777778, 0.7, -14.456417344870758, 0.04745098795596703 # MI
0.07777777777777778, 0.8, -16.456417344870868, 0.04745098795596281 # MI
0.07777777777777778, 0.9, -18.456417344888877, 0.04745098798804204 # MI
0.07777777777777778, 1.0, -22.157338954191864, 0.2792776048975656 # SF
0.11666666666666667, 0.0, -1.3280241413842422, 0.19507789444889456 # SF
0.11666666666666667, 0.1, -3.0168484024481415, 0.10370951289736396 # MI
0.11666666666666667, 0.2, -5.016848402421472, 0.10370951298130682 # MI
0.11666666666666667, 0.3, -7.016848402411257, 0.10370951369102555 # MI
0.11666666666666667, 0.4, -9.016848402734206, 0.10370951487115287 # MI
0.11666666666666667, 0.5, -11.016848402737757, 0.10370951503869352 # MI
0.11666666666666667, 0.6, -13.016848403180283, 0.10370951513977467 # MI
0.11666666666666667, 0.7, -15.016848403190687, 0.10370951514922622 # MI
0.11666666666666667, 0.8, -17.955418076155354, 0.2943864262090039 # MI
0.11666666666666667, 0.9, -20.859271897584556, 0.3299423847631906 # MI
0.11666666666666667, 1.0, -23.976808585670906, 0.34176528630509395 # SF
0.15555555555555556, 0.0, -2.26482392362363, 0.2483335728021311 # SF
0.15555555555555556, 0.1, -3.7803968087737805, 0.17550801440390384 # MI
0.15555555555555556, 0.2, -5.780396808412663, 0.17550801391654614 # MI
0.15555555555555556, 0.3, -7.780396808352149, 0.17550801279720485 # MI
0.15555555555555556, 0.4, -9.78039680811827, 0.1755080102455142 # MI
0.15555555555555556, 0.5, -11.780396807802866, 0.17550800788679566 # MI
0.15555555555555556, 0.6, -14.057321401406611, 0.24139618693947407 # MI
0.15555555555555556, 0.7, -16.708198071068157, 0.3327590235614908 # MI
0.15555555555555556, 0.8, -19.526065126844056, 0.36773338450679605 # MI
0.15555555555555556, 0.9, -22.53322910516286, 0.38053880075607394 # SF
0.15555555555555556, 1.0, -25.814280633847623, 0.3944293357531037 # SF
0.19444444444444445, 0.0, -3.2143716112283256, 0.30025191459216505 # SF
0.19444444444444445, 0.1, -4.721616222264111, 0.25305286904057844 # MI
0.19444444444444445, 0.2, -6.721615950821982, 0.25305259457883156 # MI
0.19444444444444445, 0.3, -8.721615960832391, 0.25305263250856513 # MI
