# Hubbard model DMRG. L=5, N=5, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Calculation performed on central site.
# J; μ; E; n_variance; <a>; k[calculated 2025-02-19T12:13:51.733]
0.0; 0.4; -2.0; 0.0; 0.0; NaN # MI
0.0; 0.4222222222222222; -2.1111111111111116; 0.0; 0.0; 45.00000000000005 # MI
0.0; 0.4444444444444444; -2.2222222222222223; 0.0; 0.0; 0.0 # MI
0.0; 0.4666666666666667; -2.3333333333333335; 0.0; 0.0; 0.0 # MI
0.0; 0.4888888888888889; -2.4444444444444446; 0.0; 0.0; 0.0 # MI
0.0; 0.5111111111111111; -2.5555555555555554; 0.0; 0.0; 0.0 # MI
0.0; 0.5333333333333333; -2.666666666666666; 0.0; 0.0; 0.0 # MI
0.0; 0.5555555555555556; -2.7777777777777777; 0.0; 0.0; 0.0 # MI
0.0; 0.5777777777777777; -2.8888888888888884; 0.0; 0.0; 0.0 # MI
0.0; 0.6; -3.0000000000000004; 0.0; 0.0; 0.0 # MI
0.006666666666666667; 0.4; -2.000711055785141; 0.00035550799665617916; 1.4491491229298587e-11; NaN # MI
0.006666666666666667; 0.4222222222222222; -2.1118221668962565; 0.0003555079970332109; 1.16751588042514e-17; 44.99999999999956 # MI
0.006666666666666667; 0.4444444444444444; -2.222933278007362; 0.0003555079967525465; 1.651318651616519e-11; -3.7969627442180207e-13 # MI
0.006666666666666667; 0.4666666666666667; -2.3340443891184726; 0.00035550799683892187; 2.636328186896314e-13; 2.098321516541513e-13 # MI
0.006666666666666667; 0.4888888888888889; -2.4451555002295824; 0.00035550799691796975; 4.095636078186584e-12; 9.992007221626273e-15 # MI
0.006666666666666667; 0.5111111111111111; -2.556266611340694; 0.0003555079969426167; -1.426697835549181e-14; 4.996003610813125e-14 # MI
0.006666666666666667; 0.5333333333333333; -2.6673777224518056; 0.00035550799693351287; -1.4492497866239301e-11; -7.99360577730101e-14 # MI
0.006666666666666667; 0.5555555555555556; -2.77848883356291; 0.0003555079969426167; -1.051061156454174e-11; 1.9984014443252505e-14 # MI
