# Hubbard model DMRG. L=5, N=5, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Calculation performed on central site.
# J; μ; E; n_variance; <a>; k[calculated 2025-02-19T14:01:20.225]
0.0; 0.0; 5.474639632591113e-29; 0.11369067372658148; 0.33718047649082744; NaN # SF
0.0; 0.02040816326530612; -0.10204081632653073; 0.0; 0.0; 49.00000000000001 # MI
0.0; 0.04081632653061224; -0.20408163265306145; 0.0; 0.0; 0.0 # MI
0.0; 0.061224489795918366; -0.3061224489795916; 0.0; 0.0; 0.0 # MI
0.0; 0.08163265306122448; -0.40816326530612235; 0.0; 0.0; 0.0 # MI
0.0; 0.10204081632653061; -0.5102040816326531; 0.0; 0.0; 0.0 # MI
0.0; 0.12244897959183673; -0.6122448979591838; 0.0; 0.0; 0.0 # MI
0.0; 0.14285714285714285; -0.714285714285714; 0.0; 0.0; 0.0 # MI
0.0; 0.16326530612244897; -0.8163265306122447; 0.0; 0.0; 0.0 # MI
0.0; 0.1836734693877551; -0.9183673469387754; 0.0; 0.0; 0.0 # MI
0.0; 0.20408163265306123; -1.0204081632653061; 0.0; 0.0; 0.0 # MI
0.0; 0.22448979591836735; -1.1224489795918369; 0.0; 0.0; 0.0 # MI
0.0; 0.24489795918367346; -1.2244897959183676; 0.0; 0.0; 0.0 # MI
0.0; 0.2653061224489796; -1.3265306122448983; 0.0; 0.0; 0.0 # MI
0.0; 0.2857142857142857; -1.4285714285714284; 0.0; 0.0; 0.0 # MI
0.0; 0.30612244897959184; -1.5306122448979593; 0.0; 0.0; 0.0 # MI
0.0; 0.32653061224489793; -1.6326530612244894; 0.0; 0.0; 0.0 # MI
0.0; 0.3469387755102041; -1.7346938775510201; 0.0; 0.0; 0.0 # MI
0.0; 0.3673469387755102; -1.8367346938775508; 0.0; 0.0; 0.0 # MI
0.0; 0.3877551020408163; -1.9387755102040816; 0.0; 0.0; 0.0 # MI
0.0; 0.40816326530612246; -2.0408163265306123; 0.0; 0.0; 0.0 # MI
0.0; 0.42857142857142855; -2.1428571428571432; 0.0; 0.0; 0.0 # MI
