# Hubbard model DMRG. L=10, N=10, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Check the code.
# J, μ, E, n_variance, <a_i> [calculated 2025-02-12T15:48:24.307 @site  i=5]
0.0, 0.0, 1.4811170628202564e-29, 0.1745622217572239, -0.41780644054062155 # SF
0.0, 0.02564102564102564, -0.17531073495626392, 0.22019054471759225, 0.4661776569546712 # MI
0.0, 0.05128205128205128, -0.3881658140817379, 0.02731929361343821, -0.16527761262100796 # MI
0.0, 0.07692307692307693, -0.6937126269373017, 0.026105294006283475, -0.13304554120620218 # MI
0.0, 0.10256410256410256, -0.9241347805576581, 0.02532045241464298, 0.1420570711015022 # MI
0.0, 0.1282051282051282, -1.272278429536705, 0.0011834967832394794, -0.03367804754977682 # MI
0.0, 0.15384615384615385, -1.489041985545439, 0.0005246409646535444, 0.016311185664338743 # MI
0.0, 0.1794871794871795, -1.7494155361257122, 0.0007072136401790052, 0.021959509802145165 # MI
0.0, 0.20512820512820512, -2.0495202200907174, 0.0006272329989502889, -0.02000515174724701 # MI
0.0, 0.23076923076923078, -2.2839714989352724, 0.0001575648132648988, -0.00515844223814473 # MI
0.0, 0.2564102564102564, -2.5579127683835265, 0.001199799367441745, 0.0056362764265856305 # MI
0.0, 0.28205128205128205, -2.820512803315599, 8.417710972707937e-13, -1.2979214204000125e-6 # MI
0.0, 0.3076923076923077, -3.076869035390078, 1.0202216849108936e-10, 1.034952258955032e-5 # MI
0.0, 0.3333333333333333, -3.3333318639736813, 1.0407501527254226e-9, 3.99937887856015e-6 # MI
0.0, 0.358974358974359, -3.5897435839070306, 2.223266015732861e-11, -5.413556745652939e-6 # MI
0.0, 0.38461538461538464, -3.846153846117336, -8.881784197001252e-16, 1.0917294645795253e-12 # MI
0.0, 0.41025641025641024, -4.102564088548282, 1.1220844253756468e-9, 2.9902596119788443e-5 # MI
0.0, 0.4358974358974359, -4.358974358974332, 0.0, 0.0 # MI
0.0, 0.46153846153846156, -4.615384615384615, 2.220446049250313e-16, -7.133731111326134e-17 # MI
0.0, 0.48717948717948717, -4.871794871794863, 0.0, 5.2492521046504467e-17 # MI
0.0, 0.5128205128205128, -5.128205128204989, -2.220446049250313e-16, 0.0 # MI
0.0, 0.5384615384615384, -5.384615384615241, 0.0, 2.377441600525647e-15 # MI
0.0, 0.5641025641025641, -5.641025641025644, -6.661338147750939e-16, -3.3867918263034e-12 # MI
0.0, 0.5897435897435898, -5.89743589742688, 2.220446049250313e-16, 1.1984840483508291e-16 # MI
0.0, 0.6153846153846154, -6.153846153845887, 0.0, 2.0380731557044327e-13 # MI
0.0, 0.6410256410256411, -6.410256410256412, -4.440892098500626e-16, -6.848051858491621e-20 # MI
0.0, 0.6666666666666666, -6.666666666665888, 7.771561172376096e-16, 2.5909543524311752e-11 # MI
0.0, 0.6923076923076923, -6.923076923076904, 2.220446049250313e-16, -2.3055032046126545e-17 # MI
0.0, 0.717948717948718, -7.1794871794351485, 8.881784197001252e-16, 3.081241614519926e-11 # MI
0.0, 0.7435897435897436, -7.435897135111309, 1.023885665141222e-8, 0.00016018174463914057 # MI
0.0, 0.7692307692307693, -7.692307692302609, 4.440892098500626e-16, 2.6967199051048067e-9 # MI
0.0, 0.7948717948717948, -7.948717865836581, 4.281273113804218e-10, -1.6834853005895758e-5 # MI
0.0, 0.8205128205128205, -8.204787865770536, 0.0009063825550541527, 0.03792559995794127 # MI
0.0, 0.8461538461538461, -8.460546070121246, 0.0013310436889493182, -0.04605302740912212 # MI
0.0, 0.8717948717948718, -8.717873026404808, 2.039682362342532e-6, -7.344746047315768e-5 # MI
0.0, 0.8974358974358975, -8.892527017050003, 0.0030000923846829064, 0.068115025432763 # MI
0.0, 0.9230769230769231, -9.223576945151052, 1.802452454979786e-5, 0.0005278902273523545 # MI
0.0, 0.9487179487179487, -9.342756968871406, 0.004749841583846948, -0.09213279718056 # MI
0.0, 0.9743589743589743, -9.61894051005367, 0.003441415670368375, 0.03840738046198367 # MI
0.0, 1.0, -9.999999999999996, 0.19136728369457967, -0.6186554512724824 # SF
0.008974358974358974, 0.0, -0.02800561549683067, 0.2072577963850596, 0.3668988956997399 # SF
0.008974358974358974, 0.02564102564102564, -0.18618924882504473, 0.04363096970886948, -0.2004749759430507 # MI
0.008974358974358974, 0.05128205128205128, -0.4287011709060415, 0.10828220026929258, -0.31998390402681287 # MI
0.008974358974358974, 0.07692307692307693, -0.5606045003205345, 0.037560683740214595, 0.02412985232371734 # MI
0.008974358974358974, 0.10256410256410256, -1.0010789960496314, 0.0013730777053413412, -0.011876711699622702 # MI
0.008974358974358974, 0.1282051282051282, -1.2515568618186752, 0.12998623768960826, 0.3586598495284027 # MI
0.008974358974358974, 0.15384615384615385, -1.4815662254009077, 0.0021858269151771026, -0.03232679614049192 # MI
0.008974358974358974, 0.1794871794871795, -1.7977010532991926, 0.0006441558794696434, -3.7805737684810516e-6 # MI
0.008974358974358974, 0.20512820512820512, -2.0540491685581452, 0.0008894632534562907, -0.011495597622198863 # MI
0.008974358974358974, 0.23076923076923078, -2.3103829199672625, 0.0006627168756145885, -0.000291629101378163 # MI
0.008974358974358974, 0.2564102564102564, -2.5653510444423566, 0.000664159930408581, 0.0022373701910536063 # MI
0.008974358974358974, 0.28205128205128205, -2.8234118825810315, 0.0006441564082049211, 6.412302600193823e-7 # MI
0.008974358974358974, 0.3076923076923077, -3.07982217352349, 0.0006441566790422737, -1.546865094511145e-6 # MI
0.008974358974358974, 0.3333333333333333, -3.3362324299422617, 0.0006441568715567225, 2.3175641832908928e-8 # MI
0.008974358974358974, 0.358974358974359, -3.5926422411003385, 0.0006441583227649872, -3.17030764236341e-7 # MI
0.008974358974358974, 0.38461538461538464, -3.8490529427623237, 0.0006441569483721654, 5.71490455736879e-8 # MI
0.008974358974358974, 0.41025641025641024, -4.10546319917381, 0.0006441568701573974, -5.726406109835995e-10 # MI
0.008974358974358974, 0.4358974358974359, -4.361873455583814, 0.000644156869781698, -5.230275651630889e-11 # MI
0.008974358974358974, 0.46153846153846156, -4.61828371199408, 0.0006441568705219947, -3.6943757197394866e-10 # MI
0.008974358974358974, 0.48717948717948717, -4.874693968404348, 0.0006441568714281587, 1.4958702762477055e-11 # MI
0.008974358974358974, 0.5128205128205128, -5.131104224814612, 0.0006441568705324308, -1.4086386100397227e-12 # MI
0.008974358974358974, 0.5384615384615384, -5.387514481224706, 0.0006441568721045066, -1.0542804986529736e-10 # MI
0.008974358974358974, 0.5641025641025641, -5.64392473763505, 0.0006441568692336919, -5.865366201965435e-11 # MI
0.008974358974358974, 0.5897435897435898, -5.900334994044237, 0.0006441568693458244, -1.6452790514900673e-9 # MI
0.008974358974358974, 0.6153846153846154, -6.156745250455602, 0.0006441568712196588, 2.014481605516708e-10 # MI
0.008974358974358974, 0.6410256410256411, -6.413155506865423, 0.0006441568721395896, 4.134423343610391e-9 # MI
0.008974358974358974, 0.6666666666666666, -6.669557490358681, 0.0006439970424076957, 0.0008405157187629487 # MI
0.008974358974358974, 0.6923076923076923, -6.9259760166567395, 0.0006441568757018512, 5.1351984879816514e-8 # MI
0.008974358974358974, 0.717948717948718, -7.182386276068039, 0.0006441568561126321, 1.2460998518425488e-6 # MI
0.008974358974358974, 0.7435897435897436, -7.438796285939009, 0.0006441570822834919, 3.2421785088329036e-6 # MI
0.008974358974358974, 0.7692307692307693, -7.6952067563356055, 0.0006441736116413743, -0.00020919758838336432 # MI
0.008974358974358974, 0.7948717948717948, -7.951616056067258, 0.0006442155723944687, 0.00031290229929273875 # MI
0.008974358974358974, 0.8205128205128205, -8.20719004320621, 0.0036593252589383063, 0.07733342399668783 # MI
0.008974358974358974, 0.8461538461538461, -8.463472099754666, 0.0011210846382174733, -0.03003800574826238 # MI
0.008974358974358974, 0.8717948717948718, -8.699040761773327, 0.030952036981186648, -0.23086531900784008 # MI
0.008974358974358974, 0.8974358974358975, -8.968622650594604, 0.007859010614550188, 0.11841005482090822 # MI
0.008974358974358974, 0.9230769230769231, -9.182020386142131, 0.06324177174930368, -0.31647988320682413 # MI
0.008974358974358974, 0.9487179487179487, -9.401587471783392, 0.15972556169224017, -0.15108298879528786 # MI
0.008974358974358974, 0.9743589743589743, -9.747097674081994, 0.20973742424725295, -0.4025803066687736 # SF
0.008974358974358974, 1.0, -10.106474926816844, 0.24934873854640172, -0.4561131378863621 # SF
0.017948717948717947, 0.0, -0.09792939840240339, 0.2440917212179185, 0.13779982608463714 # SF
0.017948717948717947, 0.02564102564102564, -0.2674595399683861, 0.14464077715926227, 0.10477003993380472 # SF
0.017948717948717947, 0.05128205128205128, -0.4115254629782468, 0.15360610848845557, 0.37058070910626456 # MI
0.017948717948717947, 0.07692307692307693, -0.5560613127597467, 0.10428328876947646, 0.2147099887018899 # MI
