# Hubbard model DMRG. L=16, N=16, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Check the code.
# J, μ, E, n_variance [calculated 2025-02-11T12:15:39.380 @site  i=8]
0.0, 0.1, -1.6, 0.0 # MI
0.0, 0.14736842105263157, -2.3578947368421055, 0.0 # MI
0.0, 0.19473684210526315, -3.1157894736842096, 0.0 # MI
0.0, 0.24210526315789474, -3.873684210526314, 0.0 # MI
0.0, 0.2894736842105263, -4.631578947368423, 0.0 # MI
0.0, 0.3368421052631579, -5.389473684210527, 0.0 # MI
0.0, 0.38421052631578945, -6.147368421052632, 0.0 # MI
0.0, 0.43157894736842106, -6.905263157894737, 0.0 # MI
0.0, 0.4789473684210526, -7.663157894736841, 0.0 # MI
0.0, 0.5263157894736842, -8.421052631578945, 0.0 # MI
0.0, 0.5736842105263158, -9.178947368421053, 0.0 # MI
0.0, 0.6210526315789474, -9.936842105263164, 0.0 # MI
0.0, 0.6684210526315789, -10.694736842105268, 0.0 # MI
0.0, 0.7157894736842105, -11.452631578947372, 0.0 # MI
0.0, 0.7631578947368421, -12.210526315789476, 0.0 # MI
0.0, 0.8105263157894737, -12.968421052631582, 0.0 # MI
0.0, 0.8578947368421053, -13.726315789473686, 0.0 # MI
0.0, 0.9052631578947369, -14.484210526315792, 0.0 # MI
0.0, 0.9526315789473684, -15.242105263157896, 0.0 # MI
0.0, 1.0, -16.0, 0.0 # MI
0.018421052631578946, 0.1, -1.620351776775669, 0.0027118872091496105 # MI
0.018421052631578946, 0.14736842105263157, -2.3782465136303284, 0.002711887276449776 # MI
0.018421052631578946, 0.19473684210526315, -3.136141250453825, 0.00271188730324301 # MI
0.018421052631578946, 0.24210526315789474, -3.8940359872934223, 0.00271188741600481 # MI
0.018421052631578946, 0.2894736842105263, -4.651930724119458, 0.002711887487199416 # MI
0.018421052631578946, 0.3368421052631579, -5.409825460933616, 0.0027118874936593595 # MI
0.018421052631578946, 0.38421052631578945, -6.167720197784297, 0.0027118875453715496 # MI
0.018421052631578946, 0.43157894736842106, -6.925614934606264, 0.0027118875837950362 # MI
0.018421052631578946, 0.4789473684210526, -7.683509671447116, 0.0027118876431282413 # MI
