# Hubbard model DMRG. L=20, N=20, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Check the code.
#J; μ; E; n_variance; <a_i> [calculated 2025-02-15T12:56:33.668 @site  i=10]
0.0; 0.0; 1.639103535989014e-29; 0.07422516487798689; -0.27244295710843186 # SF
0.0; 0.034482758620689655; -0.6896551724137923; 0.0; 0.0 # MI
0.0; 0.06896551724137931; -1.3793103448275872; 0.0; 0.0 # MI
0.0; 0.10344827586206896; -2.068965517241379; 0.0; 0.0 # MI
0.0; 0.13793103448275862; -2.7586206896551744; 0.0; 0.0 # MI
0.0; 0.1724137931034483; -3.448275862068967; 0.0; 0.0 # MI
0.0; 0.20689655172413793; -4.137931034482758; 0.0; 0.0 # MI
0.0; 0.2413793103448276; -4.82758620689655; 0.0; 0.0 # MI
0.0; 0.27586206896551724; -5.517241379310344; 0.0; 0.0 # MI
0.0; 0.3103448275862069; -6.2068965517241335; 0.0; 0.0 # MI
0.0; 0.3448275862068966; -6.896551724137934; 0.0; 0.0 # MI
0.0; 0.3793103448275862; -7.586206896551725; 0.0; 0.0 # MI
0.0; 0.41379310344827586; -8.275862068965516; 0.0; 0.0 # MI
0.0; 0.4482758620689655; -8.96551724137931; 0.0; 0.0 # MI
0.0; 0.4827586206896552; -9.6551724137931; 0.0; 0.0 # MI
0.0; 0.5172413793103449; -10.3448275862069; 0.0; 0.0 # MI
0.0; 0.5517241379310345; -11.034482758620689; 0.0; 0.0 # MI
0.0; 0.5862068965517241; -11.724137931034484; 0.0; 0.0 # MI
0.0; 0.6206896551724138; -12.413793103448267; 0.0; 0.0 # MI
0.0; 0.6551724137931034; -13.103448275862066; 0.0; 0.0 # MI
0.0; 0.6896551724137931; -13.793103448275868; 0.0; 0.0 # MI
0.0; 0.7241379310344828; -14.482758620689648; 0.0; 0.0 # MI
0.0; 0.7586206896551724; -15.17241379310345; 0.0; 0.0 # MI
0.0; 0.7931034482758621; -15.862068965517235; 0.0; 0.0 # MI
0.0; 0.8275862068965517; -16.551724137931032; 0.0; 0.0 # MI
0.0; 0.8620689655172413; -17.241379310344833; 0.0; 0.0 # MI
0.0; 0.896551724137931; -17.93103448275862; 0.0; 0.0 # MI
