# Hubbard model DMRG. nmax=3, μ0=0.0.
# L; J; E; deltaE_g^+; deltaE_g^-; nVariance; Γ [calculated 2025-02-04T11:28:04.028]
10; 0.0; 0.0; 1.0; 0.0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0]
10; 0.0035353535353535356; -0.0004499465866563135; 0.9870147650533084; 0.0063837865753401946; [4.999281544626477e-5, 9.998063216909436e-5, 9.998604526484378e-5, 9.998604620720108e-5, 9.998604620720108e-5, 9.99860462063129e-5, 9.998604620653495e-5, 9.998604528616006e-5, 9.998063207672381e-5, 4.9992815434940496e-5]; [0.00022495822399387484, 5.5290233979232594e-8]
10; 0.007070707070707071; -0.0017996963078994455; 0.9731603899443281; 0.012902885049037001; [0.0001999462675327246, 0.00039981255661381, 0.000399899054808861, 0.0003998991217826209, 0.0003998991222251558, 0.0003998991222331494, 0.0003998991221505488, 0.0003998990525670987, 0.00039981255729948373, 0.00019994626495345447]; [0.0008995847918620393, 1.1232334397100406e-6]
10; 0.010606060606060607; -0.0040489790806210735; 0.9602542607227077; 0.019359418913174702; [0.0004497855156269104, 0.0008991661678812157, 0.0008996032572898827, 0.000899604052367664, 0.0008996040542570416, 0.0008996040542577077, 0.0008996040523736593, 0.0008996032572736734, 0.0008991661678612317, 0.0004497855156235797]; [0.0020234432741556203, 5.6823266480784445e-6]
10; 0.014141414141414142; -0.0071973439733654665; 0.9467680122446481; 0.02575495637058889; [0.0007993859633682598, 0.0015974924931019263, 0.0015988700612337148, 0.001598874509606274, 0.0015988745283816996, 0.0015988745283825878, 0.001598874509666226, 0.0015988700610696238, 0.001597492492886543, 0.00079938596331941]; [0.003595364703271048, 1.7933285572104872e-5]
10; 0.017676767676767676; -0.011244158747902855; 0.9332764811711431; 0.03207009900876235; [0.001248573733808045, 0.0024940242784796673, 0.0024973754327770603, 0.0024973923096784922, 0.0024973924207798426, 0.0024973924207944975, 0.002497392310035762, 0.0024973754317714203, 0.0024940242771422927, 0.0012485737334880787]; [0.005614003171558296, 4.370188755565438e-5]
10; 0.021212121212121213; -0.016188608596958254; 0.9195901604761331; 0.0383689217983575; [0.0017971261003589811, 0.003587777050656049, 0.003594695586271124, 0.0035947456621030494, 0.00359474613475963, 0.00359474613475963, 0.003594745662320653, 0.0035946955856374085, 0.003587777050077401, 0.0017971261003023598]; [0.008077553231311324, 9.044556026870761e-5]
10; 0.024747474747474747; -0.022029694734449823; 0.9062611343054641; 0.044600813266208864; [0.0024447720980668164, 0.004877550622545579, 0.00489030176619254, 0.004890427076005066, 0.0048904286815909526, 0.004890428681583625, 0.004890427075858073, 0.0048903017658032955, 0.00487755062234041, 0.0024447720979315912]; [0.010983809485308648, 0.00016717473874410107]
10; 0.028282828282828285; -0.028766232657343682; 0.8929719175341455; 0.050365541180314735; [0.003191193248694546, 0.006361930904462687, 0.006383553985772394, 0.006383830715867456, 0.006383835334911936, 0.00638383533489395, 0.006383830715456895, 0.00638355398463708, 0.006361930903922675, 0.0031911932483035255]; [0.01433015069454781, 0.0002843743067700964]
10; 0.031818181818181815; -0.03639685010705884; 0.8797710031071507; 0.05632211876834274; [0.004036024408945682, 0.008039292038650503, 0.0080736938208541, 0.00807424917414723, 0.00807426087072538, 0.00807426087069496, 0.008074249173137371, 0.008073693817946648, 0.008039292037426815, 0.0040360244079507]; [0.018113554544044036, 0.000454029008667498]
10; 0.03535353535353535; -0.0449199846786863; 0.8666234672961037; 0.06198377802371198; [0.004978854680567024, 0.00990779879243453, 0.009959836300974079, 0.009960869511073334, 0.009960896284198828, 0.009960896284174181, 0.009960869508844228, 0.009959836294239022, 0.009907798790008027, 0.00497885467828596]; [0.02233058532144766, 0.0006894884428054561]
10; 0.03888888888888889; -0.054333881143981966; 0.8535509256014588; 0.06762947751999486; [0.006019228422217249, 0.01196540926048928, 0.012040961059647692, 0.012042768630471379, 0.012042825074459085, 0.012042825069010554, 0.012042768608155452, 0.012040961036308584, 0.011965409242873815, 0.006019228416266009]; [0.026977393510146483, 0.0010055938262305715]
10; 0.04242424242424243; -0.06463658842974374; 0.8405585051190246; 0.07307033725662815; [0.007156646299847358, 0.014209877797992432, 0.014315902816584902, 0.01431890783937928, 0.014319019053235627, 0.014319019058942395, 0.014318907810186632, 0.014315902775724032, 0.01420987777185112, 0.007156646296169078]; [0.032049705775492675, 0.0014177624106345092]
10; 0.04595959595959596; -0.07582595630788047; 0.8276260623111631; 0.0784425633578742; [0.008390566410864997, 0.016638758284791555, 0.01678334127554404, 0.016788126647338197, 0.01678833354835696, 0.01678833354357323, 0.01678812662678575, 0.01678334131270387, 0.016638758258935793, 0.008390566394556043]; [0.03754283966253346, 0.0019431843746758619]
10; 0.049494949494949494; -0.08789963174379123; 0.8147769204147447; 0.08364365550247119; [0.00972040537337826, 0.01924940744282999, 0.019441790715641005, 0.019449135537052964, 0.01944950193080075, 0.01944950193090067, 0.019449135537311868, 0.01944179071583574, 0.0192494074429983, 0.00972040537345753]; [0.0434516727851163, 0.0025999234572195665]
10; 0.05303030303030303; -0.10085505496986036; 0.8019899884112219; 0.08871448326408271; [0.01114553949661845, 0.02203898864302256, 0.022289589143533295, 0.022300508204805558, 0.02230112983642596, 0.022301129836638234, 0.02230050820531493, 0.02228958914391299, 0.02203898864338316, 0.011145539496803192]; [0.0497706560775323, 0.003406777467365362]
10; 0.05656565656565657; -0.1146894552268618; 0.7892830514585958; 0.09366199771297345; [0.01266530591334114, 0.025004475706858154, 0.025324887496553483, 0.02534067247944094, 0.02534168839740225, 0.025341688397820583, 0.0253406724803793, 0.025324887497254922, 0.02500447570759179, 0.012665305913742264]; [0.056493800866695996, 0.004383383816443549]
10; 0.0601010101010101; -0.129399846194731; 0.7766502155233711; 0.09847391805712893; [0.014279003640187082, 0.028142656972839797, 0.028545638676328977, 0.028567900590711126, 0.028569506745280915, 0.02856950674605896, 0.028567900592332718, 0.028545638677568652, 0.02814265697427243, 0.01427900364101542]; [0.06361467248685541, 0.005550018601096041]
10; 0.06363636363636363; -0.14498302113461614; 0.7641010125329296; 0.10314079450350144; [0.01598589461616229, 0.03145013953651077, 0.0319495868058417, 0.03198029846226569, 0.03198276370227271, 0.03198276370363251, 0.03198029846489714, 0.031949586807946684, 0.031450139539198174, 0.015985894617795315]; [0.07112638197292973, 0.006927457458621406]
10; 0.06717171717171717; -0.16143554773728352; 0.7516355319498924; 0.107696858817033; [0.017785204657166154, 0.03492335366086907, 0.0355342567641721, 0.0355757941589947, 0.035579478502163475, 0.03557947850344201, 0.035575794161513574, 0.03553425676562472, 0.034923353661945544, 0.017785204659768183]; [0.07902157665050386, 0.008536763818974584]
10; 0.0707070707070707; -0.17875376267015186; 0.7392557762894447; 0.11210221736403109; [0.01967612431382071, 0.03855855728404656, 0.03929694410395479, 0.039352125497393864, 0.039357500511890464, 0.03935750051015985, 0.039352125498479884, 0.03929694410512741, 0.038558557280683026, 0.019676124314030652]; [0.08729242924954783, 0.010399295783046592]
10; 0.07424242424242425; -0.19693376585574685; 0.7269661685791249; 0.11636396412614053; [0.0216578095661476, 0.04235184071867537, 0.04323470558687448, 0.04330682698081656, 0.043314497763537796, 0.043314497756864245, 0.04330682696514376, 0.04323470557840947, 0.042351840710486366, 0.021657809564511243]; [0.09593062429533655, 0.012536475276679697]
10; 0.07777777777777778; -0.21597141449153323; 0.7147690920086943; 0.12048705880793925; [0.023729382440223934, 0.04629913144877884, 0.04734435034417328, 0.04743721594097483, 0.047447944375164086, 0.04744794436696487, 0.04743721592235772, 0.047344350333969665, 0.04629913143642894, 0.023729382437076785]; [0.1049273455621942, 0.014969479010303304]
10; 0.08131313131313131; -0.23586231678537128; 0.7026674690516638; 0.12446759830706994; [0.025889931457725557, 0.0503961989905648, 0.05162243182351278, 0.05174037827607436, 0.051755106610810175, 0.051755106598909695, 0.051740378252849384, 0.051622431803221014, 0.050396198972435524, 0.02588993145345475]; [0.11427325751007222, 0.017719203412315063]
10; 0.08484848484848485; -0.2566018254602649; 0.6906644485270393; 0.12830081012526384; [0.028138511711738867, 0.05463865979651339, 0.05606524063906049, 0.056213153647222125, 0.0562330277639953, 0.056233027773231026, 0.05621315370234825, 0.0560652406743698, 0.054638659771282905, 0.028138511704587477]; [0.12395848984780108, 0.020806277583971907]
10; 0.08838383838383838; -0.27818503107104897; 0.6787635394934899; 0.13198634907165013; [0.030474145037315492, 0.05902198235658318, 0.060668798439165394, 0.060852120492679074, 0.060878511812605174, 0.06087851181931181, 0.06085212057667899, 0.06066879851571971, 0.0590219823749063, 0.030474145022287513]; [0.13397261776179195, 0.0242500634452368]
10; 0.09191919191919191; -0.30060675507059553; 0.6669681522396044; 0.1355215548585193; [0.032895819642609125, 0.0635414921503874, 0.06542885272535592, 0.0656535807751144, 0.06568810563934768, 0.0656881056459857, 0.06565358078086558, 0.06542885277451682, 0.06354149220174654, 0.03289581963120081]; [0.14430463771500343, 0.0280695290194494]
10; 0.09545454545454546; -0.3238615427076539; 0.6552814707069173; 0.13890368741138204; [0.035402489601588316, 0.06819237661564026, 0.07034087273325818, 0.07061354481882387, 0.070658080250799, 0.07065808025775722, 0.07061354482560245, 0.07034087274196632, 0.06819237663600575, 0.03540248959569303]; [0.15494294615399898, 0.03228239788512614]
10; 0.09898989898989899; -0.3479436558027822; 0.6437067500056359; 0.14213093391826426; [0.03799307392324569, 0.07296969014032983, 0.07540004652177679, 0.07572771636898978, 0.07578441124924495, 0.07578441125969815, 0.07572771636504827, 0.07540004654128962, 0.07296969016033938, 0.03799307390291384]; [0.16587531507923853, 0.03690512069787372]
