# Hubbard model DMRG. nmax=3, μ0=0.0.
# L; J; E; deltaE_g^+; deltaE_g^-; nVariance; Γ [calculated 2025-02-03T17:25:49.222]
100; 0.0; 0.0; 1.0; 0.0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
100; 0.0035353535353535356; -0.004949431196783927; 0.9872497844755523; 0.006452387845313989; [4.9992815436272764e-5, 9.998063216909436e-5, 9.998604530481181e-5, 9.998604620742313e-5, 9.998604620786722e-5, 9.998604620786722e-5, 9.998604620808926e-5, 9.998604620808926e-5, 9.998604620831131e-5, 9.998604620831131e-5, 9.998604620853335e-5, 9.998604620853335e-5, 9.99860462087554e-5, 9.99860462087554e-5, 9.998604620897744e-5, 9.998604620897744e-5, 9.998604620919949e-5, 9.998604620919949e-5, 9.998604620942153e-5, 9.998604620942153e-5, 9.998604620964358e-5, 9.998604620964358e-5, 9.998604620986562e-5, 9.998604620986562e-5, 9.998604621008766e-5, 9.998604621008766e-5, 9.998604621030971e-5, 9.998604621030971e-5, 9.998604621053175e-5, 9.998604621053175e-5, 9.99860462107538e-5, 9.99860462107538e-5, 9.998604621097584e-5, 9.998604621097584e-5, 9.998604621119789e-5, 9.998604621119789e-5, 9.998604621141993e-5, 9.998604621141993e-5, 9.998604621164198e-5, 9.998604621164198e-5, 9.998604621186402e-5, 9.998604621186402e-5, 9.998604621208607e-5, 9.998604621208607e-5, 9.998604621230811e-5, 9.998604621230811e-5, 9.998604621253016e-5, 9.998604621253016e-5, 9.99860462127522e-5, 9.99860462127522e-5, 9.998604621297424e-5, 9.998604621297424e-5, 9.998604621319629e-5, 9.998604621319629e-5, 9.998604621341833e-5, 9.998604621341833e-5, 9.998604621364038e-5, 9.998604621364038e-5, 9.998604621386242e-5, 9.998604621386242e-5, 9.998604621408447e-5, 9.998604621408447e-5, 9.998604621430651e-5, 9.998604621430651e-5, 9.998604621452856e-5, 9.998604621452856e-5, 9.99860462147506e-5, 9.99860462147506e-5, 9.998604621497265e-5, 9.998604621497265e-5, 9.998604621519469e-5, 9.998604621519469e-5, 9.998604621541674e-5, 9.998604621541674e-5, 9.998604621563878e-5, 9.998604621563878e-5, 9.998604621586082e-5, 9.998604621586082e-5, 9.998604621608287e-5, 9.998604621608287e-5, 9.998604621630491e-5, 9.998604621630491e-5, 9.998604621652696e-5, 9.998604621652696e-5, 9.9986046216749e-5, 9.9986046216749e-5, 9.998604621697105e-5, 9.998604621697105e-5, 9.998604621719309e-5, 9.998604621719309e-5, 9.998604621741514e-5, 9.998604621741514e-5, 9.998604621763718e-5, 9.998604621741514e-5, 9.998604621719309e-5, 9.998604621630491e-5, 9.998604621652696e-5, 9.998604529615207e-5, 9.998063208671581e-5, 4.9992815444932504e-5]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
100; 0.007070707070707071; -0.019796959199251063; 0.9731987137513678; 0.012663563914040221; [0.0001999462675371655, 0.00039981255662113746, 0.000399899054813746, 0.00039989912177151865, 0.00039989912221405355, 0.00039989912222249124, 0.0003998991222227133, 0.0003998991222231574, 0.00039989912222293533, 0.0003998991222233794, 0.00039989912222360147, 0.0003998991222238235, 0.0003998991222238235, 0.00039989912222404556, 0.0003998991222238235, 0.00039989912222404556, 0.0003998991222238235, 0.0003998991222242676, 0.00039989912222404556, 0.0003998991222242676, 0.0003998991222242676, 0.0003998991222247117, 0.00039989912222493373, 0.0003998991222251558, 0.0003998991222253778, 0.00039989912222559987, 0.0003998991222258219, 0.00039989912222604396, 0.000399899122226266, 0.00039989912222648805, 0.0003998991222267101, 0.00039989912222693214, 0.0003998991222271542, 0.0003998991222273762, 0.00039989912222759827, 0.0003998991222278203, 0.00039989912222804236, 0.0003998991222282644, 0.00039989912222848645, 0.0003998991222287085, 0.00039989912222893054, 0.0003998991222291526, 0.0003998991222291526, 0.0003998991222293746, 0.0003998991222293746, 0.0003998991222293746, 0.0003998991222298187, 0.00039989912223004076, 0.0003998991222302628, 0.00039989912223048485, 0.0003998991222307069, 0.00039989912223092894, 0.00039989912223092894, 0.000399899122231151, 0.00039989912223092894, 0.000399899122231151, 0.000399899122231151, 0.00039989912223159507, 0.0003998991222318171, 0.00039989912223203916, 0.0003998991222322612, 0.00039989912223248325, 0.0003998991222327053, 0.0003998991222327053, 0.0003998991222331494, 0.00039989912223292734, 0.00039989912223337143, 0.0003998991222335935, 0.0003998991222335935, 0.00039989912223403756, 0.0003998991222338155, 0.0003998991222342596, 0.00039989912223448165, 0.0003998991222347037, 0.00039989912223492574, 0.0003998991222351478, 0.00039989912223536983, 0.0003998991222355919, 0.0003998991222358139, 0.00039989912223603596, 0.000399899122236258, 0.00039989912223648005, 0.0003998991222367021, 0.00039989912223692414, 0.0003998991222371462, 0.00039989912223736823, 0.0003998991222375903, 0.0003998991222378123, 0.00039989912223803437, 0.0003998991222382564, 0.00039989912223847845, 0.0003998991222387005, 0.00039989912223892254, 0.0003998991222387005, 0.00039989912223803437, 0.0003998991222378123, 0.00039989912215521173, 0.0003998990525717616, 0.00039981255730414667, 0.0001999462649581174]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
100; 0.010606060606060607; -0.044540287656177124; 0.9596701854047698; 0.019500398526460128; [0.00044978551564667235, 0.0008991661679282892, 0.0008996032573245216, 0.0008996040523876481, 0.0008996040542872397, 0.0008996040542925687, 0.0008996040542923467, 0.0008996040542925687, 0.0008996040542923467, 0.0008996040542925687, 0.0008996040542925687, 0.0008996040542923467, 0.0008996040542925687, 0.0008996040542923467, 0.0008996040542927908, 0.0008996040542923467, 0.0008996040542923467, 0.0008996040542923467, 0.0008996040542925687, 0.0008996040542925687, 0.0008996040542925687, 0.0008996040542925687, 0.0008996040542923467, 0.0008996040542925687, 0.0008996040542925687, 0.0008996040542925687, 0.0008996040542925687, 0.0008996040542927908, 0.0008996040542925687, 0.0008996040542925687, 0.0008996040542923467, 0.0008996040542927908, 0.0008996040542930128, 0.0008996040542927908, 0.0008996040542923467, 0.0008996040542923467, 0.0008996040542925687, 0.0008996040542925687, 0.0008996040542923467, 0.0008996040542925687, 0.0008996040542925687, 0.0008996040542925687, 0.0008996040542927908, 0.0008996040542923467, 0.0008996040542923467, 0.0008996040542923467, 0.0008996040542927908, 0.0008996040542927908, 0.0008996040542923467, 0.0008996040542927908, 0.0008996040542923467, 0.0008996040542930128, 0.0008996040542923467, 0.0008996040542927908, 0.0008996040542927908, 0.0008996040542925687, 0.0008996040542925687, 0.0008996040542927908, 0.0008996040542927908, 0.0008996040542927908, 0.0008996040542925687, 0.0008996040542927908, 0.0008996040542925687, 0.0008996040542925687, 0.0008996040542925687, 0.0008996040542927908, 0.0008996040542930128, 0.0008996040542927908, 0.0008996040542925687, 0.0008996040542927908, 0.0008996040542925687, 0.0008996040542927908, 0.0008996040542925687, 0.0008996040542925687, 0.0008996040542930128, 0.0008996040542927908, 0.0008996040542930128, 0.0008996040542925687, 0.0008996040542925687, 0.0008996040542930128, 0.0008996040542927908, 0.0008996040542930128, 0.0008996040542930128, 0.0008996040542927908, 0.0008996040542930128, 0.0008996040542927908, 0.0008996040542927908, 0.0008996040542930128, 0.0008996040542927908, 0.0008996040542927908, 0.0008996040542930128, 0.0008996040542927908, 0.0008996040542916806, 0.0008996040542921246, 0.0008996040542919026, 0.0008996040542872397, 0.0008996040524029691, 0.0008996032573029833, 0.0008991661678905416, 0.00044978551565311164]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
100; 0.014141414141414142; -0.07917557895802219; 0.946083894474596; 0.02519021286123424; [0.0007993859633533829, 0.0015974924931028145, 0.0015988700612079576, 0.0015988745096002788, 0.0015988745283650463, 0.0015988745284660766, 0.0015988745284667427, 0.0015988745284665207, 0.0015988745284667427, 0.0015988745284665207, 0.0015988745284665207, 0.0015988745284667427, 0.0015988745284665207, 0.0015988745284665207, 0.0015988745284667427, 0.0015988745284667427, 0.0015988745284669648, 0.0015988745284667427, 0.0015988745284667427, 0.0015988745284665207, 0.0015988745284667427, 0.0015988745284667427, 0.0015988745284667427, 0.0015988745284669648, 0.0015988745284667427, 0.0015988745284669648, 0.0015988745284667427, 0.0015988745284667427, 0.0015988745284667427, 0.0015988745284667427, 0.0015988745284665207, 0.0015988745284665207, 0.0015988745284665207, 0.0015988745284667427, 0.0015988745284665207, 0.0015988745284667427, 0.0015988745284667427, 0.0015988745284669648, 0.0015988745284667427, 0.0015988745284665207, 0.0015988745284669648, 0.0015988745284667427, 0.0015988745284667427, 0.0015988745284665207, 0.0015988745284665207, 0.0015988745284667427, 0.0015988745284665207, 0.0015988745284669648, 0.0015988745284665207, 0.0015988745284665207, 0.0015988745284665207, 0.0015988745284667427, 0.0015988745284667427, 0.0015988745284669648, 0.0015988745284667427, 0.0015988745284667427, 0.0015988745284667427, 0.0015988745284669648, 0.0015988745284667427, 0.0015988745284667427, 0.0015988745284667427, 0.0015988745284667427, 0.0015988745284667427, 0.0015988745284669648, 0.0015988745284667427, 0.0015988745284665207, 0.0015988745284665207, 0.0015988745284667427, 0.0015988745284667427, 0.0015988745284669648, 0.0015988745284669648, 0.0015988745284669648, 0.0015988745284667427, 0.0015988745284669648, 0.0015988745284669648, 0.0015988745284669648, 0.0015988745284667427, 0.0015988745284667427, 0.0015988745284669648, 0.0015988745284667427, 0.0015988745284667427, 0.0015988745284667427, 0.0015988745284667427, 0.0015988745284669648, 0.0015988745284669648, 0.0015988745284669648, 0.0015988745284667427, 0.0015988745284669648, 0.0015988745284667427, 0.0015988745284669648, 0.0015988745284671868, 0.0015988745284669648, 0.0015988745284667427, 0.001598874528467631, 0.0015988745284669648, 0.0015988745283777028, 0.001598874509660897, 0.0015988700610645168, 0.001597492492881214, 0.000799385963314081]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
100; 0.017676767676767676; -0.12369744820187556; 0.9329352928792836; 0.03140931555236737; [0.0012485737338067127, 0.0024940242784889932, 0.002497375432759519, 0.002497392309682489, 0.0024973924207831733, 0.0024973924216098453, 0.002497392421634048, 0.0024973924216342702, 0.0024973924216344923, 0.002497392421633826, 0.002497392421633604, 0.002497392421633826, 0.002497392421633826, 0.002497392421633604, 0.002497392421633826, 0.002497392421634048, 0.0024973924216344923, 0.002497392421634048, 0.002497392421633826, 0.002497392421633604, 0.002497392421633826, 0.002497392421633826, 0.002497392421633826, 0.002497392421633826, 0.002497392421633826, 0.002497392421633604, 0.002497392421633826, 0.0024973924216342702, 0.0024973924216342702, 0.002497392421633604, 0.002497392421633826, 0.002497392421633826, 0.0024973924216342702, 0.002497392421634048, 0.0024973924216342702, 0.002497392421633604, 0.002497392421633826, 0.0024973924216342702, 0.0024973924216344923, 0.002497392421634048, 0.002497392421633604, 0.002497392421634048, 0.0024973924216342702, 0.0024973924216342702, 0.002497392421633604, 0.002497392421634048, 0.002497392421634048, 0.0024973924216342702, 0.002497392421633826, 0.0024973924216342702, 0.002497392421634048, 0.002497392421634048, 0.002497392421633604, 0.002497392421634048, 0.0024973924216342702, 0.002497392421634048, 0.002497392421634048, 0.0024973924216342702, 0.002497392421634048, 0.002497392421633826, 0.002497392421633826, 0.0024973924216342702, 0.002497392421634048, 0.0024973924216342702, 0.002497392421634048, 0.002497392421634048, 0.002497392421633826, 0.0024973924216342702, 0.002497392421634048, 0.0024973924216342702, 0.002497392421633604, 0.002497392421634048, 0.0024973924216342702, 0.0024973924216342702, 0.002497392421633826, 0.002497392421634048, 0.002497392421634048, 0.002497392421633826, 0.002497392421634048, 0.002497392421634048, 0.0024973924216342702, 0.002497392421633826, 0.002497392421634048, 0.002497392421633826, 0.0024973924216342702, 0.0024973924216342702, 0.002497392421634048, 0.002497392421634048, 0.002497392421633826, 0.0024973924216344923, 0.0024973924216342702, 0.0024973924216344923, 0.002497392421633826, 0.002497392421634048, 0.002497392421627831, 0.0024973924208091525, 0.0024973923100437556, 0.00249737543178008, 0.0024940242771502863, 0.0012485737334962943]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
100; 0.021212121212121213; -0.17809894669193183; 0.9188256094690663; 0.0380608145174266; [0.0017971261003341121, 0.003587777050630514, 0.0035946955862689034, 0.003594745662091503, 0.003594746134825133, 0.003594746139832905, 0.0035947461398795344, 0.0035947461398797564, 0.0035947461398799785, 0.0035947461398793124, 0.0035947461398790903, 0.0035947461398788683, 0.0035947461398790903, 0.0035947461398786462, 0.003594746139878424, 0.0035947461398786462, 0.003594746139878202, 0.003594746139878202, 0.003594746139878424, 0.003594746139878202, 0.003594746139878202, 0.00359474613987798, 0.00359474613987798, 0.003594746139877758, 0.003594746139877758, 0.00359474613987798, 0.003594746139877758, 0.003594746139877758, 0.003594746139877536, 0.003594746139877314, 0.003594746139877314, 0.003594746139877092, 0.003594746139877314, 0.00359474613987687, 0.00359474613987687, 0.00359474613987687, 0.0035947461398764258, 0.0035947461398762037, 0.0035947461398762037, 0.0035947461398757596, 0.0035947461398746494, 0.0035947461398744274, 0.0035947461398739833, 0.0035947461398739833, 0.0035947461398739833, 0.0035947461398739833, 0.0035947461398739833, 0.003594746139873539, 0.003594746139873539, 0.003594746139873095, 0.003594746139872651, 0.003594746139872207, 0.003594746139872207, 0.003594746139871763, 0.003594746139871541, 0.0035947461398713187, 0.003594746139871541, 0.0035947461398708747, 0.0035947461398706526, 0.0035947461398704306, 0.0035947461398704306, 0.0035947461398702085, 0.0035947461398704306, 0.0035947461398704306, 0.0035947461398702085, 0.0035947461398699865, 0.0035947461398699865, 0.0035947461398693203, 0.0035947461398693203, 0.0035947461398693203, 0.0035947461398690983, 0.0035947461398688763, 0.0035947461398688763, 0.003594746139868654, 0.003594746139868432, 0.003594746139867988, 0.003594746139867766, 0.003594746139867322, 0.003594746139867322, 0.003594746139866878, 0.003594746139866656, 0.003594746139866656, 0.003594746139866656, 0.0035947461398664338, 0.0035947461398664338, 0.0035947461398659897, 0.0035947461398659897, 0.0035947461398651015, 0.0035947461398644354, 0.0035947461398646574, 0.0035947461398644354, 0.0035947461398646574, 0.0035947461398639913, 0.003594746139863103, 0.0035947461398064817, 0.0035947461347918264, 0.003594745662296228, 0.0035946955856123175, 0.003587777050052532, 0.0017971261002772687]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
100; 0.024747474747474747; -0.2423715434666227; 0.9050073596880774; 0.04425397259886488; [0.0024447720981030097, 0.00487755062257289, 0.004890301766240057, 0.004890427076039039, 0.004890428681971093, 0.004890428705124572, 0.004890428705490946, 0.0048904287054925, 0.00489042870549361, 0.004890428705490946, 0.0048904287054925, 0.0048904287054925, 0.0048904287054925, 0.0048904287054900575, 0.004890428705489613, 0.0048904287054902795, 0.0048904287054898354, 0.0048904287054898354, 0.0048904287054898354, 0.0048904287054898354, 0.00489042870549139, 0.0048904287054900575, 0.0048904287054902795, 0.004890428705489613, 0.0048904287054902795, 0.0048904287054900575, 0.004890428705489391, 0.0048904287054902795, 0.004890428705489613, 0.004890428705487837, 0.004890428705489391, 0.004890428705488059, 0.004890428705489391, 0.004890428705488281, 0.004890428705487171, 0.004890428705488281, 0.004890428705486949, 0.004890428705487171, 0.004890428705486727, 0.004890428705486727, 0.004890428705486505, 0.004890428705486283, 0.004890428705487171, 0.004890428705487171, 0.004890428705486949, 0.004890428705487393, 0.004890428705487393, 0.004890428705487171, 0.004890428705486949, 0.004890428705486949, 0.004890428705487837, 0.004890428705487393, 0.004890428705487393, 0.004890428705487837, 0.004890428705487615, 0.004890428705487615, 0.004890428705488281, 0.004890428705488059, 0.004890428705487837, 0.004890428705488281, 0.004890428705488725, 0.004890428705488503, 0.004890428705488503, 0.004890428705488947, 0.004890428705488947, 0.004890428705488947, 0.004890428705489169, 0.004890428705489169, 0.004890428705489391, 0.004890428705489169, 0.004890428705489391, 0.004890428705489613, 0.004890428705489613, 0.0048904287054898354, 0.0048904287054900575, 0.004890428705489613, 0.004890428705490724, 0.0048904287054902795, 0.0048904287054902795, 0.004890428705490502, 0.004890428705490502, 0.004890428705490946, 0.004890428705490946, 0.004890428705490502, 0.004890428705490946, 0.004890428705490946, 0.004890428705490502, 0.0048904287054900575, 0.0048904287054902795, 0.0048904287054898354, 0.004890428705489391, 0.004890428705489169, 0.004890428705489169, 0.004890428705482952, 0.004890428705127681, 0.004890428681960435, 0.004890427075879833, 0.004890301765819283, 0.004877550622356619, 0.0024447720979480225]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
100; 0.028282828282828285; -0.31650510254906905; 0.891229246302172; 0.05060361497919086; [0.0031911932486856642, 0.006361930904453583, 0.006383553985729984, 0.006383830715867234, 0.006383835336650323, 0.006383835423491302, 0.006383835425225692, 0.006383835425266549, 0.006383835425266771, 0.006383835425266993, 0.006383835425267215, 0.006383835425266993, 0.006383835425266771, 0.006383835425267215, 0.006383835425267659, 0.006383835425267437, 0.006383835425267659, 0.006383835425268103, 0.006383835425268103, 0.006383835425268103, 0.006383835425268103, 0.006383835425268547, 0.006383835425268547, 0.006383835425268547, 0.006383835425268991, 0.006383835425269435, 0.006383835425268991, 0.006383835425269879, 0.006383835425269657, 0.006383835425269657, 0.006383835425269657, 0.006383835425270101, 0.006383835425270101, 0.006383835425270323, 0.006383835425270323, 0.006383835425270545, 0.006383835425270545, 0.006383835425270767, 0.006383835425270767, 0.006383835425270767, 0.0063838354252709895, 0.0063838354252709895, 0.0063838354252712115, 0.0063838354252712115, 0.0063838354252714336, 0.006383835425271656, 0.006383835425271878, 0.006383835425271656, 0.006383835425272322, 0.0063838354252721, 0.0063838354252721, 0.0063838354252721, 0.006383835425272544, 0.006383835425272766, 0.006383835425272988, 0.006383835425273432, 0.006383835425273432, 0.006383835425273432, 0.006383835425273654, 0.006383835425273654, 0.006383835425273654, 0.006383835425274098, 0.00638383542527432, 0.006383835425273876, 0.006383835425273876, 0.006383835425273654, 0.006383835425273432, 0.006383835425273432, 0.006383835425273654, 0.006383835425273654, 0.006383835425273654, 0.006383835425273654, 0.006383835425273654, 0.006383835425273654, 0.006383835425273654, 0.006383835425273654, 0.006383835425273654, 0.006383835425273654, 0.006383835425273654, 0.006383835425274098, 0.006383835425273654, 0.006383835425273654, 0.006383835425273654, 0.006383835425273654, 0.00638383542527321, 0.00638383542527321, 0.006383835425274098, 0.006383835425274098, 0.006383835425274098, 0.006383835425274098, 0.006383835425273876, 0.006383835425273876, 0.006383835425273876, 0.006383835425236795, 0.0063838354235037365, 0.006383835336641441, 0.006383830715468886, 0.006383553984613322, 0.00636193090389825, 0.0031911932482791006]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
100; 0.031818181818181815; -0.4004878562839278; 0.8773163788879352; 0.05686597779576097; [0.004036024408918815, 0.008039292038606094, 0.008073693820856764, 0.008074249174309545, 0.008074260877862338, 0.008074261155551321, 0.00807426116254506, 0.008074261162739571, 0.00807426116274823, 0.00807426116274823, 0.008074261162748009, 0.008074261162747343, 0.00807426116274823, 0.008074261162748675, 0.008074261162748453, 0.008074261162749563, 0.008074261162748675, 0.00807426116274823, 0.008074261162748675, 0.008074261162748675, 0.008074261162749119, 0.008074261162749341, 0.008074261162749563, 0.008074261162749785, 0.008074261162750007, 0.008074261162750451, 0.00807426116275023, 0.008074261162751117, 0.008074261162750895, 0.008074261162750451, 0.008074261162750451, 0.008074261162750673, 0.008074261162750451, 0.008074261162750895, 0.008074261162751117, 0.008074261162750451, 0.00807426116275134, 0.00807426116275134, 0.008074261162751784, 0.008074261162752006, 0.00807426116275245, 0.008074261162751784, 0.008074261162753116, 0.00807426116275245, 0.008074261162753116, 0.00807426116275356, 0.008074261162753782, 0.008074261162753782, 0.008074261162754226, 0.008074261162753782, 0.008074261162754448, 0.008074261162754226, 0.008074261162753782, 0.008074261162754226, 0.00807426116275467, 0.00807426116275467, 0.008074261162755336, 0.00807426116275467, 0.00807426116275467, 0.008074261162755558, 0.008074261162755114, 0.008074261162756224, 0.008074261162755558, 0.008074261162755558, 0.008074261162756002, 0.00807426116275578, 0.008074261162755336, 0.008074261162756446, 0.008074261162755336, 0.00807426116275578, 0.00807426116275578, 0.008074261162756002, 0.008074261162756224, 0.00807426116275578, 0.00807426116275578, 0.008074261162756668, 0.008074261162756002, 0.008074261162756446, 0.008074261162756002, 0.008074261162756002, 0.008074261162756668, 0.008074261162756446, 0.008074261162756002, 0.008074261162756446, 0.008074261162756446, 0.008074261162756002, 0.008074261162757557, 0.008074261162757335, 0.008074261162758889, 0.008074261162758445, 0.008074261162758223, 0.008074261162758223, 0.00807426116275356, 0.008074261162571483, 0.008074261155572415, 0.008074260877861672, 0.008074249173301906, 0.008073693817929772, 0.008039292037404833, 0.004036024407928274]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
