# Hubbard model DMRG. L=50, N=50, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Check the code.
# J; μ; E; n_variance; <a_i>; Γ; eΓ; C; eC; Re(D); Im(D) where D=FT(C) [calculated 2025-02-13T15:35:10.204 @site  i=25]
0.1; 0.5; -26.93779415646803; 0.07730596633342657; -1.495239103743383e-17; [0.39111677032007086, 0.07891256556456401, 0.01910194924829962, 0.004819357359015376, 0.0012246868620459088, 0.0003115425247596332, 7.925695286309905e-5, 2.016198601459425e-5, 5.128719433680601e-6, 1.3045841081656578e-6, 3.318395089380515e-7, 8.440731729123588e-8, 2.1469892636434436e-8]; [2.2237496831544175e-11, 6.163515802480466e-10, 7.525859547087924e-10, 4.77720091955869e-10, 1.8519674347298095e-10, 5.7309448644633824e-11, 1.5853816705679317e-11, 3.874987171640382e-12, 7.953199182465758e-13, 9.108250440844159e-14, 1.0200887408302204e-14, 1.2129538604684984e-15, NaN]; [-0.03556517000612792, -0.019287941085221322, -0.013105634637785447, -0.009947256996782516, -0.008044658586495869, -0.0067763204077697856, -0.005871467004864064, -0.005194000097650575, -0.00466818948505861, -0.004248577252947838, -0.0039062332723027826, -0.003621871472887796, -0.0033821411624690503, -0.0031775074117772768, -0.0030009792222914985, -0.002847314623570408, -0.0027125063271912103, -0.0025934388340915233, -0.0024876538290170436, -0.002393185962092582, -0.0023084455556206564, -0.0022321333058482684, -0.002163177242624305, -0.0021006854556153247, -0.002043910173031292, -0.0019922201370432967, -0.0019450791255701952, -0.001902029084561733, -0.001862676758674373, -0.0018266830048836785, -0.0017937541841126392, -0.0017636351772899541, -0.001736103682327764, -0.0017109655294615695, -0.0016880508125492212, -0.0016672106790610365, -0.0016483146556715734, -0.0016312484124722775, -0.0016159118889362708, -0.001602217720386016, -0.0015900899159424333, -0.0015794627485844642, -0.0015702798256276142, -0.0015624933140956072, -0.0015560633004573787, -0.0015509572682983923, -0.0015471496808966922, -0.0015446216585422957, -0.0015433607429026746]; [2.7094260898587224e-5, 0.01653135478000451, 0.016214117239692308, 0.015175781458861577, 0.014190289036813243, 0.013346026472050299, 0.012632717733462485, 0.01202703247809769, 0.011507840084063236, 0.011058322069664004, 0.010665480145415471, 0.010319284877369881, 0.01001193721325585, 0.009737305717176604, 0.009490513213342537, 0.0092676354174417, 0.009065480326875307, 0.008881425299213958, 0.008713295437398771, 0.008559271778663108, 0.008417821202275369, 0.008287642336630737, 0.00816762338263885, 0.008056808908629714, 0.007954373470358638, 0.00785960047505218, 0.007771865112887384, 0.007690620471616013, 0.007615386163464123, 0.007545738950789238, 0.007481304974092289, 0.007421753273943826, 0.00736679036502371, 0.007316155671383261, 0.007269617671238805, 0.0072269706300221274, 0.007188031824188296, 0.007152639176997425, 0.007120649242325354, 0.007091935484402867, 0.007066386810905341, 0.0070439063245247525, 0.007024410264446713, 0.007007827114329656, 0.006994096857680023, 0.0069831703651212634, 0.006975008901116387, 0.006969583740341894, 0.006966875886224775]; -0.07485763918822905; -0.04843066901758375 # MI
0.1111111111111111; 0.5; -27.385419347773855; 0.09455843449121537; -6.90392471164117e-15; [0.4319856703130721, 0.10539405464718796, 0.030851136243985076, 0.009558453211325446, 0.003021677067557159, 0.0009633570042604925, 0.00030840706565337907, 9.895921353584386e-5, 3.1797003421469536e-5, 1.0225763685452795e-5, 3.290417915474889e-6, 1.0591776445586491e-6, 3.4103054507808516e-7]; [1.438478226348802e-9, 4.412864440254328e-8, 7.315253852182297e-8, 3.065366334580975e-8, 1.2851676809129463e-8, 5.131572990508941e-9, 1.7877621285390026e-9, 6.113502182522341e-10, 1.728361913495943e-10, 4.219724175155573e-11, 7.581000027786624e-12, 4.323276735284815e-12, NaN]; [-0.04266779735752892, -0.02346281591920722, -0.016000764309955492, -0.012157214706275102, -0.009834835883386168, -0.008284950413721268, -0.007178814857989252, -0.006350542976923255, -0.005707660506979332, -0.005194615155662987, -0.004776041451341324, -0.004428360430443049, -0.004135248955393236, -0.0038850490279749815, -0.003669212973186964, -0.003481331586585158, -0.003316505270579857, -0.00317092479234731, -0.0030415844389848935, -0.00292608123244384, -0.002822471518475411, -0.002729166674889869, -0.002644856033903855, -0.0025684490818135403, -0.0024990315390620433, -0.0024358315844389684, -0.0023781935942723885, -0.002325557518745408, -0.0022774425355991134, -0.0022334339841867195, -0.002193172840259398, -0.002156347176896968, -0.0021226851915828143, -0.0020919494784016395, -0.0020639322978874405, -0.00203845165223461, -0.002015348015374154, -0.001994481599339302, -0.0019757300629353347, -0.0019589865878257813, -0.001944158262097978, -0.00193116472317006, -0.0019199370212912108, -0.0019104166724253446, -0.0019025548754195128, -0.001896311873367302, -0.0018916564432363058, -0.0018885655013356063, -0.0018870238152120735]; [5.609936174055012e-5, 0.019504843796085875, 0.01926452189626197, 0.018091049308708668, 0.016947450291694897, 0.01595723034530454, 0.015115784606087352, 0.014398768139164523, 0.013782689318458287, 0.013248390223706847, 0.01278087222026078, 0.012368470071227381, 0.012002064014069171, 0.01167445676617559, 0.011379906869517472, 0.01111378431147791, 0.01087231635148583, 0.010652398699480007, 0.010451453938921296, 0.010267324274279574, 0.010098189422581007, 0.0099425031031185, 0.009798943424350658, 0.00966637376171195, 0.00954381163422536, 0.009430403738584493, 0.009325405766890428, 0.00922816597330384, 0.00913811170314168, 0.009054738281444513, 0.00897759979490261, 0.008906301404007912, 0.008840492900444112, 0.00877986328450712, 0.00872413618343813, 0.008673065967353993, 0.00862643444747267, 0.008584048063405014, 0.008545735483798184, 0.008511345558608304, 0.008480745572535862, 0.008453819758278342, 0.008430468035699802, 0.008410604949146422, 0.008394158780227591, 0.008381070817656263, 0.008371294769373292, 0.00836479630531219, 0.008361552721907204]; -0.09057273095370393; -0.0590707597359088 # MI
0.12222222222222222; 0.5; -27.876850389348004; 0.11318556035293748; 1.3270973656849179e-14; [0.4719091119989763, 0.1361528573714496, 0.046948841281976524, 0.017325180344481775, 0.006591654808855918, 0.0025421972538101152, 0.0009862121033700716, 0.0003835390703788943, 0.0001493133124982255, 5.815291490832468e-5, 2.265256950146618e-5, 8.824512276640896e-6, 3.4377375732163525e-6]; [2.6459321968671002e-9, 4.4084546275392445e-9, 2.7914195697314486e-9, 1.547133483017288e-9, 7.583805144058668e-10, 3.3780375888011885e-10, 1.434026092610747e-10, 5.944291191544815e-11, 2.418049666303621e-11, 9.50738862211017e-12, 3.3995333637147427e-12, 8.391845948338131e-13, NaN]; [-0.04999804946054338, -0.02788700077681613, -0.019102086253079312, -0.01453457101185902, -0.01176387132377131, -0.00991168695638224, -0.008588871626080142, -0.007598064817669304, -0.006828939041769333, -0.006215119393805098, -0.005714319460026723, -0.005298336041540078, -0.004947641624777334, -0.004648288655217732, -0.004390050438134517, -0.004165258711471461, -0.003968051344486844, -0.0037938707653899294, -0.0036391207740068795, -0.003500926314346264, -0.003376961890551685, -0.0032653267867425208, -0.003164452847109694, -0.0030730353204165184, -0.0029899803117570158, -0.0029143643713123372, -0.0028454030744604008, -0.0027824263464543146, -0.0027248589048036076, -0.0026722046264499727, -0.0026240339548157334, -0.0025799736831864204, -0.0025396986119154267, -0.0025029246953628525, -0.002469403382478574, -0.0024389169209665354, -0.0024112744449660815, -0.0023863087043797557, -0.0023638733233984402, -0.002343840498623907, -0.0023260990650767394, -0.002310552872494795, -0.002297119425561706, -0.0022857287507242257, -0.002276322459568997, -0.002268852984722186, -0.0022632829692114205, -0.0022595847944251327, -0.0022577402354092783]; [0.00010368024195039235, 0.022456358844405534, 0.022336793475695293, 0.021051184322238667, 0.0197606257091298, 0.018629753917356776, 0.017662524652590068, 0.01683498633862504, 0.016122004264472755, 0.015502461993181022, 0.014959569516015661, 0.014480143640096749, 0.014053811775247104, 0.0136723504188493, 0.013329177035003064, 0.01301896931932725, 0.012737381313081855, 0.012480830968443926, 0.012246339997991379, 0.012031412040057258, 0.011833939073960006, 0.01165212883543463, 0.011484447986729724, 0.011329577218420032, 0.011186375473049319, 0.011053851206668385, 0.010931139128603936, 0.010817481241654506, 0.010712211285502517, 0.010614741894136963, 0.010524553933619025, 0.010441187603814583, 0.010364234976892274, 0.010293333713720229, 0.010228161752059012, 0.01016843280149008, 0.010113892512170708, 0.010064315209868294, 0.010019501109871072, 0.009979273938479126, 0.00994347890374941, 0.009911980967684461, 0.009884663380646643, 0.009861426445856594, 0.0098421864877172, 0.00982687500264534, 0.009815437975294836, 0.009807835346678508, 0.00980404062387779]; -0.10709092196547093; -0.07047410488776591 # MI
0.13333333333333333; 0.5; -28.410473232134933; 0.1336390521914823; 0.04503016926962321; [0.5126260309534878, 0.1738437910729721, 0.07106540222225351, 0.031487192945804945, 0.014450620770698227, 0.006364729453443989, 0.002062489483099899, -0.0005207862430096834, -0.0022416235808062485, -0.0034655339664241658, -0.004339672904788505, -0.0049033969853040415, -0.005164993697894063]; [0.0011199267672290202, 0.002043418217735349, 0.00264560766282269, 0.002964187242053414, 0.003080113492865917, 0.0030707285242950713, 0.0029351955886826445, 0.0026707753392688854, 0.002301043564073487, 0.0018266553616786408, 0.001296931979805518, 0.0007643131684152835, NaN]; [-0.05740694484396557, -0.03247234851728763, -0.02235313837789064, -0.01703909605251542, -0.01380006167792319, -0.011629885576842105, -0.010078313049160651, -0.008915578212796291, -0.008012772613371086, -0.007292183795399262, -0.006704245865854296, -0.006215878866558442, -0.00580416925528998, -0.005452746488512326, -0.005149604776642382, -0.004885740380652012, -0.00465426936512521, -0.004449839216231763, -0.004268226134987134, -0.004106053126237348, -0.003960588596991448, -0.003829599863727868, -0.0037112448706468626, -0.0036039909936393774, -0.003506553318515564, -0.003417847173928303, -0.0033369512235296777, -0.0032630784770481497, -0.0031955533234681744, -0.0031337931557517285, -0.003077293571310483, -0.0030256163754062686, -0.002978379769986612, -0.0029352503058318077, -0.002895936223225045, -0.0028601819358127496, -0.0028277634359326074, -0.0027984844446149264, -0.0027721731919270647, -0.002748679713650376, -0.0027278735769162743, -0.0027096419723768284, -0.0026938881173628197, -0.002680529924167581, -0.0026694988995652415, -0.0026607392461691177, -0.002654207145273453, -0.002649870202803385, -0.0026477070429708847]; [0.00017903597584943505, 0.025324183452328338, 0.02536421538996315, 0.023992305128979027, 0.022570303072636768, 0.021308109980370745, 0.020220860771876226, 0.019286470168780774, 0.018478981233883595, 0.017775788799734075, 0.017158590381974412, 0.01661285685253327, 0.01612707279978336, 0.01569206106506372, 0.01530044723192457, 0.01494625083225843, 0.014624576822433928, 0.014331382740800081, 0.014063302072828061, 0.013817509212194894, 0.01359161533861888, 0.01338358741036398, 0.013191684575702325, 0.01301440782185325, 0.012850459784423769, 0.012698712410174904, 0.012558180747086247, 0.012428001554328685, 0.01230741572959285, 0.01219575379251746, 0.01209242382115605, 0.011996901373597988, 0.011908721034709942, 0.011827469289760422, 0.01175277849998431, 0.011684321787968174, 0.011621808685696235, 0.011564981426398934, 0.011513611777164246, 0.011467498333947362, 0.01142646421378035, 0.011390355088828356, 0.01135903751817657, 0.011332397541426769, 0.011310339504023256, 0.011292785090421854, 0.01127967254521712, 0.011270956067145487, 0.011266605364779745]; -0.124110397334338; -0.08245062333486955 # SF
0.14444444444444443; 0.5; -29.06656216824214; 0.21604935172034612; -0.28263171210780963; [0.6731982685312785, 0.41205370891303594, 0.33222152363378016, 0.29082174198064276, 0.26176623347159406, 0.23906977443262672, 0.22100876358283428, 0.2064147277816681, 0.19384348364578877, 0.18185324397969382, 0.16969122077900858, 0.15773042812433813, 0.14716482849008464]; [0.004323080952952726, 0.007131605705752974, 0.007626421331358112, 0.0066589951285897404, 0.0057241206604778895, 0.00569441432426429, 0.0060673160003470155, 0.005894784254199429, 0.004791220395357429, 0.003190234503244912, 0.001784623828832249, 0.0007599099935311433, NaN]; [-0.06862100252171614, -0.04081729044773296, -0.029320352311293468, -0.0231688059326605, -0.019327091141123815, -0.016674209131913274, -0.014711893316764715, -0.013189406557733084, -0.011968384998999212, -0.010966415603774107, -0.010130882219355377, -0.00942593591606724, -0.008825669864295406, -0.008310429022094092, -0.00786477374909762, -0.007476332353397172, -0.007135122362225858, -0.006833112710941788, -0.006563898588815909, -0.006322422040379717, -0.006104716074754369, -0.005907667385581948, -0.00572880486162714, -0.005566122297520034, -0.005417940870803531, -0.005282812193091177, -0.0051594576926912526, -0.005046736544167658, -0.004943631849053037, -0.004849245810983252, -0.004762796430769265, -0.004683611565018687, -0.0046111186539839226, -0.004544830915623802, -0.004484331835150239, -0.004429260444819536, -0.004379298924865426, -0.0043341635346434045, -0.004293599264269509, -0.004257377297452076, -0.004225294481251555, -0.00419717347778755, -0.004172862816277277, -0.004152236146153625, -0.004135190724285583, -0.004121645316961397, -0.004111537933231038, -0.0041048237723093515, -0.004101473749816305]; [0.0015716806682763444, 0.028276850840567042, 0.028495417705248074, 0.02708732495963205, 0.025599905861241685, 0.024278343714718067, 0.023142794766082612, 0.022169034490565027, 0.021327733097198365, 0.020593373144441998, 0.01994564636823947, 0.019368922206261206, 0.018851317672042255, 0.01838379692831603, 0.017959415282208548, 0.01757272706028127, 0.017219346927732086, 0.016895638929736296, 0.016598506701700357, 0.016325259892546202, 0.016073532577414958, 0.015841235497584805, 0.015626527350742745, 0.015427794616849646, 0.015243633093373673, 0.015072827568700839, 0.01491432883335681, 0.014767229057717378, 0.01463073773483005, 0.014504160127383214, 0.014386879618227823, 0.014278344355852794, 0.014178057945975622, 0.014085573316402172, 0.014000488727996896, 0.013922444826539229, 0.0138511220373912, 0.013786237830529503, 0.013727543619555957, 0.013674821490169312, 0.013627880925494468, 0.013586555860542231, 0.013550702230127018, 0.013520196157305552, 0.013494932715518682, 0.013474825167389138, 0.013459804523155068, 0.013449819281388598, 0.013444835226236247]; -0.151667021338089; -0.1141462953121223 # SF
0.15555555555555556; 0.5; -29.837604614382222; 0.25751444189755057; 0.2550821674434778; [0.7602100026986257, 0.5194313882064566, 0.4335092261721667, 0.3835690800269099, 0.34943082691005034, 0.32370062242075875, 0.3029638524257091, 0.28584676994990815, 0.27096552279818215, 0.2570521532687705, 0.2444429639429165, 0.23432561500869928, 0.22574370749197278]; [0.002465579264141197, 0.0034925986597081665, 0.002378698891077799, 0.0007053397375354086, 0.0015499810052438758, 0.002175919346472465, 0.0014199410380544909, 0.00031968927686430374, 0.0017453314441198448, 0.0020791424002690627, 0.0009038696999347338, 0.00014711941244273047, NaN]; [-0.07970072628810632, -0.049032414854092696, -0.03588732305245893, -0.028578852827334095, -0.023851333566383998, -0.02050559238639008, -0.018005835753315713, -0.016073876276854655, -0.014545373035017985, -0.013312647756638782, -0.01230033660039036, -0.011454277751196118, -0.010735611240678417, -0.010116816268566343, -0.009578510863439863, -0.009106782724529977, -0.008691132707077371, -0.008323112390027646, -0.007995599290199952, -0.007702530447673808, -0.007438855571380466, -0.007200512817689201, -0.0069843209353866835, -0.006787782096317465, -0.006608851974374373, -0.006445755625091181, -0.006296883640861246, -0.0061607718600723916, -0.00603612872078626, -0.005921865797490329, -0.00581709614733596, -0.005721098027844773, -0.0056332582251488504, -0.0055530200459791585, -0.005479856889328082, -0.005413274762465613, -0.0053528311538868605, -0.005298153021313252, -0.005248940455158827, -0.005204953550588572, -0.005165989352986753, -0.0051318609037853125, -0.005102387455516204, -0.005077398223442083, -0.005056744556099824, -0.005040312146070726, -0.005028025948173364, -0.005019845852204211, -0.005015756352463437]; [0.0022369987309514, 0.031214086506499737, 0.03184139939105001, 0.030585962779594637, 0.029163284013392878, 0.02785572021479459, 0.026696205187010432, 0.025669569498168857, 0.024755835240751943, 0.023938751304006398, 0.023205882254945263, 0.022547155632573732, 0.021953752147668266, 0.021417618401128016, 0.02093142136690789, 0.020488687440510765, 0.020083928034974798, 0.019712644225840327, 0.019371199758717258, 0.019056616035254506, 0.018766366317804685, 0.018498224162399428, 0.018250185063917252, 0.018020447160389072, 0.017807420523399422, 0.0176097315759946, 0.017426208747593545, 0.017255847805024756, 0.01709776915709337, 0.016951181276500017, 0.016815360456745067, 0.016689645822207277, 0.016573443622974752, 0.016466231814409954, 0.016367557762437573, 0.01627702804403324, 0.016194294534208283, 0.016119042207669448, 0.016050982655125837, 0.01598985377840677, 0.01593542325542159, 0.01588749181123866, 0.0158458933721601, 0.015810491381282852, 0.01578117292176869, 0.015757843241213033, 0.01574042289529377, 0.01572884807207768, 0.015723073081584393]; -0.18112181272640732; -0.1385663370864267 # SF
0.16666666666666666; 0.5; -30.68419609493094; 0.28781267891401985; -0.08689545248873816; [0.8120865004039453, 0.5780004741409218, 0.48772292898480774, 0.432454257894105, 0.3920911253310947, 0.35994244415479276, 0.3324104615201572, 0.30743050916239806, 0.2855088001282401, 0.2669992634416456, 0.24987879174277522, 0.2334183746218206, 0.21974264312391903]; [0.004041268444981318, 0.005209819276354596, 0.004051148686172104, 0.0033621259874747323, 0.0043115656830868525, 0.004577215353121869, 0.0040201989067321945, 0.0028714167762218276, 0.0016039232371927818, 0.0005389658416601298, 0.001053518213654812, 0.0011783028441962316, NaN]; [-0.08827152182201482, -0.054969584414187166, -0.04033730283143348, -0.03207160384486016, -0.02669144122043528, -0.022895646981467486, -0.02008471511753888, -0.01793284597332662, -0.016240251096006453, -0.014875641337797717, -0.013750676246490323, -0.012805938648277698, -0.012001361460673704, -0.01130914259317594, -0.010708799316135649, -0.010184217951659589, -0.009722283421241379, -0.009312413084491144, -0.008946333313840848, -0.008617734475991358, -0.008321744739197263, -0.008054391831516516, -0.007812229706707251, -0.007592206994083807, -0.00739169645463894, -0.007208535514407474, -0.007040990885866792, -0.006887645467778799, -0.006747268124733309, -0.006618732486655595, -0.006501004365469505, -0.006393167837031137, -0.006294446757366859, -0.006204194912214324, -0.0061218616941975884, -0.006046954233075957, -0.005979016310987554, -0.00591762891799217, -0.005862422654760114, -0.0058130870948556465, -0.0057693675404775, -0.005731050515645297, -0.005697947589412102, -0.005669886311517824, -0.005646712033853328, -0.005628296465449655, -0.0056145454351101635, -0.005605400123255067, -0.005600831455952602]; [0.0023588627445237237, 0.03388992325838906, 0.03488145707976409, 0.033702990290800386, 0.032253749990320865, 0.030869326288801055, 0.029609164693072686, 0.028475827015085522, 0.02746068167504936, 0.026552965381903777, 0.025741154647676356, 0.02501344670723173, 0.024358494138912685, 0.023766162112368674, 0.023227981236813276, 0.022737166209020394, 0.02228829408809248, 0.02187686948020398, 0.021498984657960418, 0.02115115250155892, 0.02083028391969297, 0.020533714669605647, 0.020259202357819573, 0.020004860958742425, 0.01976906139158454, 0.01955034938695073, 0.019347405741688174, 0.019159043989686226, 0.018984220616152007, 0.01882203316381839, 0.01867169927285483, 0.018532527084696472, 0.01840389127613094, 0.018285222772221346, 0.018176008751386946, 0.018075795316106664, 0.017984185837736928, 0.01790083339148084, 0.01782543051887775, 0.01775770104815126, 0.017697396839481894, 0.01764429879240233, 0.01759821887918759, 0.017559000333705353, 0.01752651479079746, 0.017500657710447516, 0.017481344446474346, 0.0174685087235912, 0.01746210358280397]; -0.2019799574985338; -0.154988421570291 # SF
0.17777777777777778; 0.5; -31.593872115137245; 0.31754533516260564; 0.07304290168222027; [0.8769622137577745, 0.6506849903854053, 0.5586512785003327, 0.5036698208105445, 0.46468926319591397, 0.43425938881821363, 0.409250110327389, 0.38736306627861783, 0.36808155769450046, 0.35060694869708003, 0.3341738949365763, 0.3197013251462484, 0.30571717291333483]; [0.0017054833892048084, 0.0019281813916852083, 0.001456812000528207, 0.0018237196856416642, 0.0017817382499550644, 0.001629162992718921, 0.0018268558548001853, 0.00142533895251316, 0.0014053655242088703, 0.001421936397004115, 0.0008007715846637503, 0.0008162317815162026, NaN]; [-0.09801192623342303, -0.061709709842865085, -0.045297055947603714, -0.0358925256001821, -0.029779738085226437, -0.02551107483961568, -0.02237969425169123, -0.019988763999054644, -0.018101266301893237, -0.016572293503480523, -0.015310223833619562, -0.01425323225961573, -0.013356485089574124, -0.012586370658626495, -0.011917933324138963, -0.011332869518639562, -0.010817429011297204, -0.010360671292048818, -0.009953554075843652, -0.009588689988496355, -0.009260242713363988, -0.00896361456459495, -0.008695001610299912, -0.00845108421113603, -0.008228967144010443, -0.00802623782959399, -0.00784094761137098, -0.007671472208533999, -0.007516360084998498, -0.007374282028527655, -0.0072440752210336645, -0.007124781526220373, -0.0070156110272803695, -0.006915861128666313, -0.006824868187782586, -0.0067420236963497936, -0.0066668143168144385, -0.006598827100228015, -0.006537709453382908, -0.006483126666041005, -0.006434758759669395, -0.006392331012211668, -0.0063556360044717515, -0.006324517936227768, -0.0062988366432558, -0.006278448972291544, -0.006263226064501472, -0.006253086343830744, -0.006248007863560287]; [0.0024127772242563575, 0.03693099067442057, 0.038419374256346304, 0.03735417458158098, 0.03585379823837838, 0.03434710436558794, 0.032947374224994094, 0.03168427288889608, 0.030556987692570398, 0.0295522756015079, 0.02865368030843759, 0.02784617235297889, 0.027117536353153594, 0.026457885050364886, 0.025858781494634588, 0.025312805953421055, 0.024813549232682544, 0.02435567391175487, 0.023934784923853505, 0.023547159317310985, 0.02318952303077922, 0.022858976092363627, 0.022553008074591145, 0.022269489597840506, 0.02200659569548644, 0.021762708700185762, 0.021536366292857736, 0.021326263421955313, 0.02113126533849285, 0.020950391309857458, 0.02078277199999428, 0.020627614507488356, 0.02048419669946425, 0.02035187888673542, 0.02023010644876156, 0.020118393036000107, 0.020016298019129533, 0.01992341703381586, 0.019839388356260867, 0.019763900812260364, 0.019696689729161207, 0.019637522908259715, 0.019586190087653117, 0.019542505034345913, 0.019506314525072073, 0.019477502189970526, 0.019455981377665212, 0.019441683433262184, 0.019434552792132936]; -0.22581902097553153; -0.17279775925395213 # SF
0.18888888888888888; 0.5; -32.55173259283181; 0.33405367176682943; 0.39725248929910245; [0.9028678283817062, 0.6809824697972324, 0.5889609911570289, 0.5335289633915964, 0.49411826836480954, 0.4634878988753098, 0.43827069846344374, 0.41641378467754636, 0.39714583357945915, 0.3795306709468099, 0.36304265473008884, 0.34799721247025484, 0.33362090967155567]; [0.001705863250442608, 0.0018606246707003856, 0.001959996776378953, 0.002409319969066575, 0.002784996083184446, 0.00314613602152554, 0.003349504803256533, 0.003281926588319964, 0.003119921733211377, 0.0024311717874251, 0.0016345338564769693, 0.0013187190054428572, NaN]; [-0.1034255630943602, -0.06510382950060957, -0.0476822053771826, -0.03772161669373625, -0.031271713111770266, -0.026776226317937007, -0.02347754589098022, -0.02095652505385211, -0.018965923711400347, -0.017354367370531608, -0.016024871392143838, -0.014911365996637975, -0.013966326216312403, -0.013154685209520671, -0.012450502264707704, -0.011834470197032723, -0.011291844801369556, -0.01081093430782464, -0.010382266359904557, -0.009998193405327272, -0.009652606602239239, -0.009340578787316266, -0.009058010432872507, -0.008801402048893207, -0.00856777861437247, -0.00835464699901689, -0.00815992955388742, -0.007981861243742346, -0.007818878149945386, -0.0076696027718251136, -0.0075328506612321955, -0.007407618093160003, -0.007293037909281936, -0.0071883362798259515, -0.0070928161485115755, -0.007005866237989658, -0.0069269653656287775, -0.006855665848102366, -0.006791569352482144, -0.006734314646198879, -0.006683582522807226, -0.0066391038625787735, -0.006600657062937708, -0.006568054862927602, -0.006541133709827274, -0.006519752380230552, -0.0065037988656223645, -0.006493196302840476, -0.006487902382454703]; [0.002057183685359269, 0.03896489224630604, 0.040626949020863515, 0.039512366700836514, 0.03791360076530149, 0.0363081068045171, 0.03482134176437397, 0.033482933259126615, 0.03228939914199555, 0.031225566546483823, 0.03027406509862352, 0.02941931351883128, 0.02864840121872208, 0.02795062278130015, 0.027316851677622336, 0.026739227022179454, 0.026211059996469686, 0.025726754290454953, 0.02528162342352512, 0.024871666340010076, 0.024493399285999827, 0.02414378265149129, 0.02382019120507898, 0.023520369302731468, 0.023242356305741212, 0.022984422272933125, 0.022745028499173384, 0.022522812513087843, 0.022316584960569222, 0.02212529955279151, 0.02194802224630041, 0.02178391211946668, 0.02163221684063641, 0.021492270612965048, 0.021363485621997563, 0.021245337247661245, 0.021137352792043575, 0.021039108572402, 0.020950230598903847, 0.020870392352217035, 0.020799307942328083, 0.02073672512363021, 0.0206824224245186, 0.02063621021913849, 0.020597931461718136, 0.02056745994136873, 0.020544696366358212, 0.020529565157284914, 0.0205220136522989]; -0.2385739111016843; -0.18204676270133863 # SF
0.2; 0.5; -33.56502022681319; 0.35719133911670986; 0.1632864657011862; [0.9505054474555762, 0.73274598644446, 0.6406734694036691, 0.5851412849017738, 0.5458835995129367, 0.5154995590630834, 0.49065944058967037, 0.4694007899878596, 0.45069264445058166, 0.43369216645416925, 0.41807606376172385, 0.40320002988181153, 0.3890203678366602]; [0.00034965425278205985, 0.00040449250279788785, 0.0004565079625161461, 0.0007000285123706654, 0.0008043586585245158, 0.0010219418709482488, 0.0010768920900889065, 0.0011928724010472022, 0.0011188510725555103, 0.0010632976363216318, 0.0008116778903347382, 0.0005113119863711327, NaN]; [-0.11110729915816502, -0.0701967179399563, -0.0513606496510697, -0.04058527029895737, -0.03363990483594978, -0.028815438063138417, -0.025274569467307804, -0.02256403466199681, -0.02042333940761786, -0.018692514983503092, -0.017265953210044184, -0.016070606365513856, -0.01505512751970923, -0.014182806624371137, -0.013426407202625983, -0.012764986160809564, -0.012182283004239458, -0.01166569427402938, -0.011205290602556097, -0.010793000597713565, -0.010422175412618266, -0.010087382550812395, -0.009784184967410663, -0.009508871570720417, -0.009258276423062909, -0.00902970773929946, -0.008820904295170748, -0.008629942030393415, -0.008455141420614914, -0.008295036128163177, -0.008148370200698368, -0.008014067237596872, -0.007891178256318571, -0.007778855910037366, -0.007676362243076829, -0.007583066098580235, -0.007498413525110937, -0.007421903539645097, -0.007353093397401807, -0.007291609406496878, -0.007237133880759488, -0.00718938015955636, -0.007148090185422748, -0.007113053573478912, -0.007084111100966607, -0.007061130254870328, -0.007043987031573298, -0.0070325829937758445, -0.007026874893311082]; [0.002020489365597516, 0.04159066670180691, 0.04357887004111707, 0.04245508627054904, 0.04074801865406993, 0.03901784783235539, 0.037417652437270965, 0.035980277074581665, 0.03469855770170979, 0.03355482413645739, 0.032531285643415106, 0.03161222375008911, 0.03078382910107757, 0.030034107311378077, 0.029352966977592907, 0.028732057881779276, 0.02816437004471371, 0.027643900801567308, 0.02716551091424341, 0.02672484497992141, 0.026318194678664187, 0.025942346682662615, 0.02559449086641744, 0.025272184178771615, 0.024973308146937594, 0.024696008130570872, 0.024438640340626275, 0.024199749751210666, 0.023978057234814165, 0.02377243308956075, 0.023581867477677897, 0.023405455765077156, 0.023242394980839173, 0.023091974599436304, 0.02295355900928285, 0.02282657585826299, 0.022710515128930235, 0.02260492792133714, 0.022509416987219522, 0.022423626706875456, 0.022347241725533738, 0.022279990181794437, 0.02222164043359175, 0.022171991621562293, 0.02213086975790513, 0.022098133140588422, 0.02207367623322766, 0.022057422848767955, 0.022049315736143077]; -0.2564732110558195; -0.19556005610779456 # SF
